time,PT_Cal.Ox_Upstream.pressure_psi
2026-03-06 21:31:23.596177,0.0
2026-03-06 21:31:23.596231,0.0
2026-03-06 21:31:23.596249,0.0
2026-03-06 21:31:23.596598,0.0
2026-03-06 21:31:23.596637,0.22061275
2026-03-06 21:31:23.596695,0.0
2026-03-06 21:31:23.705503,0.0
2026-03-06 21:31:23.705569,0.0
2026-03-06 21:31:23.705661,0.0
2026-03-06 21:31:23.705811,0.0
2026-03-06 21:31:23.706151,0.22060332
2026-03-06 21:31:23.814333,0.0
2026-03-06 21:31:23.81447,0.0
2026-03-06 21:31:23.814629,0.0
2026-03-06 21:31:23.81465,0.22052376
2026-03-06 21:31:23.81478,0.0
2026-03-06 21:31:23.814926,0.0
2026-03-06 21:31:23.815103,0.0
2026-03-06 21:31:23.815289,0.0
2026-03-06 21:31:23.815509,0.0
2026-03-06 21:31:23.92385,0.0
2026-03-06 21:31:23.923904,0.0
2026-03-06 21:31:23.924013,0.0
2026-03-06 21:31:23.92425,0.0
2026-03-06 21:31:23.924347,0.0
2026-03-06 21:31:23.924562,0.22001605
2026-03-06 21:31:23.924574,0.0
2026-03-06 21:31:24.032157,0.0
2026-03-06 21:31:24.032222,0.0
2026-03-06 21:31:24.032249,0.0
2026-03-06 21:31:24.032303,0.0
2026-03-06 21:31:24.032902,0.21988863
2026-03-06 21:31:24.140977,0.0
2026-03-06 21:31:24.141066,0.0
2026-03-06 21:31:24.141202,0.0
2026-03-06 21:31:24.141386,0.0
2026-03-06 21:31:24.141629,0.21867904
2026-03-06 21:31:24.250353,0.0
2026-03-06 21:31:24.25039,0.0
2026-03-06 21:31:24.250442,0.0
2026-03-06 21:31:24.25052,0.0
2026-03-06 21:31:24.250604,0.0
2026-03-06 21:31:24.25069,0.0
2026-03-06 21:31:24.250798,0.22013809
2026-03-06 21:31:24.359038,0.0
2026-03-06 21:31:24.359094,0.0
2026-03-06 21:31:24.359155,0.0
2026-03-06 21:31:24.359294,0.0
2026-03-06 21:31:24.359444,0.0
2026-03-06 21:31:24.359908,0.21997155
2026-03-06 21:31:24.468509,0.0
2026-03-06 21:31:24.468654,0.0
2026-03-06 21:31:24.468803,0.0
2026-03-06 21:31:24.46895,0.0
2026-03-06 21:31:24.46912,0.0
2026-03-06 21:31:24.46919,0.21767779
2026-03-06 21:31:24.469281,0.0
2026-03-06 21:31:24.469431,0.0
2026-03-06 21:31:24.46959,0.0
2026-03-06 21:31:24.469742,0.0
2026-03-06 21:31:24.577959,0.0
2026-03-06 21:31:24.578017,0.0
2026-03-06 21:31:24.578055,0.0
2026-03-06 21:31:24.578191,0.0
2026-03-06 21:31:24.578337,0.0
2026-03-06 21:31:24.578534,0.2197895
2026-03-06 21:31:24.686559,0.0
2026-03-06 21:31:24.686661,0.0
2026-03-06 21:31:24.686892,0.0
2026-03-06 21:31:24.686941,0.2200828
2026-03-06 21:31:24.687053,0.0
2026-03-06 21:31:24.687285,0.0
2026-03-06 21:31:24.687457,0.0
2026-03-06 21:31:24.795481,0.0
2026-03-06 21:31:24.795543,0.0
2026-03-06 21:31:24.795757,0.0
2026-03-06 21:31:24.795838,0.0
2026-03-06 21:31:24.795953,0.21981984
2026-03-06 21:31:24.796064,0.0
2026-03-06 21:31:24.796153,0.0
2026-03-06 21:31:24.796357,0.0
2026-03-06 21:31:24.796482,0.0
2026-03-06 21:31:24.904516,0.0
2026-03-06 21:31:24.904565,0.0
2026-03-06 21:31:24.904623,0.0
2026-03-06 21:31:24.904702,0.0
2026-03-06 21:31:24.904805,0.21998571
2026-03-06 21:31:25.013305,0.0
2026-03-06 21:31:25.013373,0.0
2026-03-06 21:31:25.013453,0.0
2026-03-06 21:31:25.013541,0.0
2026-03-06 21:31:25.013631,0.0
2026-03-06 21:31:25.013783,0.0
2026-03-06 21:31:25.014247,0.22062556
2026-03-06 21:31:25.122653,0.0
2026-03-06 21:31:25.122747,0.0
2026-03-06 21:31:25.122773,0.0
2026-03-06 21:31:25.122849,0.0
2026-03-06 21:31:25.123254,0.22007538
2026-03-06 21:31:25.231302,0.0
2026-03-06 21:31:25.231539,0.0
2026-03-06 21:31:25.231687,0.0
2026-03-06 21:31:25.231796,0.0
2026-03-06 21:31:25.23199,0.21990345
2026-03-06 21:31:25.340266,0.0
2026-03-06 21:31:25.340372,0.0
2026-03-06 21:31:25.340474,0.0
2026-03-06 21:31:25.340607,0.0
2026-03-06 21:31:25.340929,0.21986975
2026-03-06 21:31:25.449766,0.0
2026-03-06 21:31:25.449847,0.0
2026-03-06 21:31:25.44992,0.0
2026-03-06 21:31:25.450004,0.0
2026-03-06 21:31:25.450096,0.0
2026-03-06 21:31:25.450194,0.0
2026-03-06 21:31:25.450273,0.0
2026-03-06 21:31:25.450327,0.22051229
2026-03-06 21:31:25.558353,0.0
2026-03-06 21:31:25.558543,0.0
