time,ACT.GSE_LOX_Fill_Vent.status
2026-03-06 21:29:06.554988,0
2026-03-06 21:29:06.641332,0
2026-03-06 21:29:06.657037,0
2026-03-06 21:29:06.743525,0
2026-03-06 21:29:06.759135,0
2026-03-06 21:29:06.845405,0
2026-03-06 21:29:06.861398,0
2026-03-06 21:29:06.94739,0
2026-03-06 21:29:06.962856,0
2026-03-06 21:29:07.049249,0
2026-03-06 21:29:07.064957,0
2026-03-06 21:29:07.151336,0
2026-03-06 21:29:07.166823,0
2026-03-06 21:29:07.253026,0
2026-03-06 21:29:07.268957,0
2026-03-06 21:29:07.355659,0
2026-03-06 21:29:07.371153,0
2026-03-06 21:29:07.457363,0
2026-03-06 21:29:07.473419,0
2026-03-06 21:29:07.559687,0
2026-03-06 21:29:07.574942,0
2026-03-06 21:29:07.661587,0
2026-03-06 21:29:07.677077,0
2026-03-06 21:29:07.762993,0
2026-03-06 21:29:07.779116,0
2026-03-06 21:29:07.865611,0
2026-03-06 21:29:07.881333,0
2026-03-06 21:29:07.967055,0
2026-03-06 21:29:07.983415,0
2026-03-06 21:29:08.069414,0
2026-03-06 21:29:08.085475,0
2026-03-06 21:29:08.171347,0
2026-03-06 21:29:08.186776,0
2026-03-06 21:29:08.273083,0
2026-03-06 21:29:08.289439,0
2026-03-06 21:29:08.375517,0
2026-03-06 21:29:08.391284,0
2026-03-06 21:29:08.477745,0
2026-03-06 21:29:08.492932,0
2026-03-06 21:29:08.579617,0
2026-03-06 21:29:08.595124,0
2026-03-06 21:29:08.681152,0
2026-03-06 21:29:08.6972,0
2026-03-06 21:29:08.783216,0
2026-03-06 21:29:08.798854,0
2026-03-06 21:29:08.885275,0
2026-03-06 21:29:08.901336,0
2026-03-06 21:29:08.987329,0
2026-03-06 21:29:09.003007,0
2026-03-06 21:29:09.089832,0
2026-03-06 21:29:09.105453,0
2026-03-06 21:29:09.191289,0
2026-03-06 21:29:09.206937,0
2026-03-06 21:29:09.293523,0
2026-03-06 21:29:09.309152,0
2026-03-06 21:29:09.395868,0
2026-03-06 21:29:09.411165,0
2026-03-06 21:29:09.497268,0
2026-03-06 21:29:09.51336,0
2026-03-06 21:29:09.599361,0
2026-03-06 21:29:09.615254,0
2026-03-06 21:29:09.701078,0
2026-03-06 21:29:09.717042,0
2026-03-06 21:29:09.803177,0
2026-03-06 21:29:09.819608,0
2026-03-06 21:29:09.905182,0
2026-03-06 21:29:09.920956,0
2026-03-06 21:29:10.007622,0
2026-03-06 21:29:10.023422,0
2026-03-06 21:29:10.109306,0
2026-03-06 21:29:10.125184,0
2026-03-06 21:29:10.21103,0
2026-03-06 21:29:10.226978,0
2026-03-06 21:29:10.313281,0
2026-03-06 21:29:10.329231,0
2026-03-06 21:29:10.415603,0
2026-03-06 21:29:10.43099,0
2026-03-06 21:29:10.517062,0
2026-03-06 21:29:10.533066,0
2026-03-06 21:29:10.619555,0
2026-03-06 21:29:10.634933,0
2026-03-06 21:29:10.721359,0
2026-03-06 21:29:10.737299,0
2026-03-06 21:29:10.823345,0
2026-03-06 21:29:10.839336,0
2026-03-06 21:29:10.925469,0
2026-03-06 21:29:10.940995,0
2026-03-06 21:29:11.027494,0
2026-03-06 21:29:11.043302,0
2026-03-06 21:29:11.129425,0
2026-03-06 21:29:11.145373,0
2026-03-06 21:29:11.231607,0
2026-03-06 21:29:11.247141,0
2026-03-06 21:29:11.333337,0
2026-03-06 21:29:11.349342,0
2026-03-06 21:29:11.43501,0
2026-03-06 21:29:11.451269,0
2026-03-06 21:29:11.537307,0
2026-03-06 21:29:11.55337,0
2026-03-06 21:29:11.639405,0
2026-03-06 21:29:11.655416,0
2026-03-06 21:29:11.741346,0
2026-03-06 21:29:11.757359,0
2026-03-06 21:29:11.843252,0
2026-03-06 21:29:11.858377,0
2026-03-06 21:29:11.945331,0
2026-03-06 21:29:11.960259,0
2026-03-06 21:29:12.047302,0
2026-03-06 21:29:12.062765,0
2026-03-06 21:29:12.14931,0
2026-03-06 21:29:12.164105,0
2026-03-06 21:29:12.251388,0
2026-03-06 21:29:12.266286,0
2026-03-06 21:29:12.353491,0
2026-03-06 21:29:12.368004,0
2026-03-06 21:29:12.455546,0
2026-03-06 21:29:12.470149,0
2026-03-06 21:29:12.557365,0
2026-03-06 21:29:12.57208,0
2026-03-06 21:29:12.659577,0
2026-03-06 21:29:12.674016,0
2026-03-06 21:29:12.761233,0
2026-03-06 21:29:12.775942,0
2026-03-06 21:29:12.863502,0
2026-03-06 21:29:12.878439,0
2026-03-06 21:29:12.965367,0
2026-03-06 21:29:12.980216,0
2026-03-06 21:29:13.067232,0
2026-03-06 21:29:13.082054,0
2026-03-06 21:29:13.169643,0
2026-03-06 21:29:13.184181,0
2026-03-06 21:29:13.271194,0
2026-03-06 21:29:13.286215,0
2026-03-06 21:29:13.373485,0
2026-03-06 21:29:13.388618,0
2026-03-06 21:29:13.475408,0
2026-03-06 21:29:13.489895,0
2026-03-06 21:29:13.577251,0
2026-03-06 21:29:13.592224,0
2026-03-06 21:29:13.679435,0
2026-03-06 21:29:13.694011,0
2026-03-06 21:29:13.781431,0
2026-03-06 21:29:13.796313,0
2026-03-06 21:29:13.88349,0
2026-03-06 21:29:13.89824,0
2026-03-06 21:29:13.985318,0
2026-03-06 21:29:14.000171,0
2026-03-06 21:29:14.087298,0
2026-03-06 21:29:14.102112,0
2026-03-06 21:29:14.189332,0
2026-03-06 21:29:14.203936,0
2026-03-06 21:29:14.291475,0
2026-03-06 21:29:14.305802,0
2026-03-06 21:29:14.393559,0
2026-03-06 21:29:14.408443,0
2026-03-06 21:29:14.495353,0
2026-03-06 21:29:14.509869,0
2026-03-06 21:29:14.59729,0
2026-03-06 21:29:14.612099,0
2026-03-06 21:29:14.699015,0
2026-03-06 21:29:14.714278,0
2026-03-06 21:29:14.801324,0
2026-03-06 21:29:14.815947,0
2026-03-06 21:29:14.903172,0
2026-03-06 21:29:14.918286,0
2026-03-06 21:29:15.005248,0
2026-03-06 21:29:15.020269,0
2026-03-06 21:29:15.107201,0
2026-03-06 21:29:15.122233,0
2026-03-06 21:29:15.209318,0
2026-03-06 21:29:15.223978,0
2026-03-06 21:29:15.311115,0
2026-03-06 21:29:15.325977,0
2026-03-06 21:29:15.413428,0
2026-03-06 21:29:15.427969,0
2026-03-06 21:29:15.515413,0
2026-03-06 21:29:15.530349,0
2026-03-06 21:29:15.617156,0
2026-03-06 21:29:15.631922,0
2026-03-06 21:29:15.719389,0
2026-03-06 21:29:15.734306,0
2026-03-06 21:29:15.821146,0
2026-03-06 21:29:15.836307,0
2026-03-06 21:29:15.923596,0
2026-03-06 21:29:15.938018,0
2026-03-06 21:29:16.025199,0
2026-03-06 21:29:16.039929,0
2026-03-06 21:29:16.127623,0
2026-03-06 21:29:16.142347,0
2026-03-06 21:29:16.229505,0
2026-03-06 21:29:16.244202,0
2026-03-06 21:29:16.331048,0
2026-03-06 21:29:16.346178,0
2026-03-06 21:29:16.433257,0
2026-03-06 21:29:16.448217,0
2026-03-06 21:29:16.535319,0
2026-03-06 21:29:16.550233,0
2026-03-06 21:29:16.637356,0
2026-03-06 21:29:16.652303,0
2026-03-06 21:29:16.739367,0
2026-03-06 21:29:16.753993,0
2026-03-06 21:29:16.841511,0
2026-03-06 21:29:16.856269,0
2026-03-06 21:29:16.943237,0
2026-03-06 21:29:16.95819,0
2026-03-06 21:29:17.045228,0
2026-03-06 21:29:17.060018,0
2026-03-06 21:29:17.14753,0
2026-03-06 21:29:17.16188,0
2026-03-06 21:29:17.249684,0
2026-03-06 21:29:17.264463,0
2026-03-06 21:29:17.351403,0
2026-03-06 21:29:17.365778,0
2026-03-06 21:29:17.453239,0
2026-03-06 21:29:17.468162,0
2026-03-06 21:29:17.555319,0
2026-03-06 21:29:17.570223,0
2026-03-06 21:29:17.65748,0
2026-03-06 21:29:17.671988,0
2026-03-06 21:29:17.759231,0
2026-03-06 21:29:17.774562,0
2026-03-06 21:29:17.861417,0
2026-03-06 21:29:17.876065,0
2026-03-06 21:29:17.963545,0
2026-03-06 21:29:17.978086,0
2026-03-06 21:29:18.065757,0
2026-03-06 21:29:18.080008,0
2026-03-06 21:29:18.167043,0
2026-03-06 21:29:18.182031,0
2026-03-06 21:29:18.269869,0
2026-03-06 21:29:18.283908,0
2026-03-06 21:29:18.371468,0
