time,ACT.Fuel_Fill_Press.raw_adc_counts
2026-03-06 21:27:03.665254,0
2026-03-06 21:27:03.730778,1036930277
2026-03-06 21:27:03.767598,0
2026-03-06 21:27:03.832618,1036930277
2026-03-06 21:27:03.86898,0
2026-03-06 21:27:03.934848,1036822116
2026-03-06 21:27:03.97101,0
2026-03-06 21:27:04.036854,1036930277
2026-03-06 21:27:04.073312,0
2026-03-06 21:27:04.138805,1036930277
2026-03-06 21:27:04.17524,0
2026-03-06 21:27:04.240757,1037146598
2026-03-06 21:27:04.277344,0
2026-03-06 21:27:04.342603,1036930277
2026-03-06 21:27:04.379137,0
2026-03-06 21:27:04.445004,1036930277
2026-03-06 21:27:04.481127,0
2026-03-06 21:27:04.546451,1036930277
2026-03-06 21:27:04.583328,0
2026-03-06 21:27:04.649524,1036930277
2026-03-06 21:27:04.685276,0
2026-03-06 21:27:04.750991,1036930277
2026-03-06 21:27:04.787212,0
2026-03-06 21:27:04.852557,1036930277
2026-03-06 21:27:04.88919,0
2026-03-06 21:27:04.954918,1037038437
2026-03-06 21:27:04.991338,0
2026-03-06 21:27:05.056632,1037579242
2026-03-06 21:27:05.09343,0
2026-03-06 21:27:05.158854,1037038437
2026-03-06 21:27:05.194919,0
2026-03-06 21:27:05.261223,1037903725
2026-03-06 21:27:05.297139,0
2026-03-06 21:27:05.362669,1037146598
2026-03-06 21:27:05.399174,0
2026-03-06 21:27:05.464497,1037038437
2026-03-06 21:27:05.501676,0
2026-03-06 21:27:05.566624,1037579242
2026-03-06 21:27:05.603265,0
2026-03-06 21:27:05.668542,1036930277
2026-03-06 21:27:05.705433,0
2026-03-06 21:27:05.770864,1036930277
2026-03-06 21:27:05.807278,0
2026-03-06 21:27:05.87276,1037146598
2026-03-06 21:27:05.909381,0
2026-03-06 21:27:05.974878,1036930277
2026-03-06 21:27:06.011181,0
2026-03-06 21:27:06.076911,1036930277
2026-03-06 21:27:06.113442,0
2026-03-06 21:27:06.178751,1037038437
2026-03-06 21:27:06.215208,0
2026-03-06 21:27:06.280834,1037903725
2026-03-06 21:27:06.317165,0
2026-03-06 21:27:06.382544,1036713955
2026-03-06 21:27:06.419231,0
2026-03-06 21:27:06.484781,1036930277
2026-03-06 21:27:06.521539,0
2026-03-06 21:27:06.586582,1037038437
2026-03-06 21:27:06.6231,0
2026-03-06 21:27:06.688679,1036930277
2026-03-06 21:27:06.72484,0
2026-03-06 21:27:06.790463,1036930277
2026-03-06 21:27:06.827277,0
2026-03-06 21:27:06.892818,1037146598
2026-03-06 21:27:06.9293,0
2026-03-06 21:27:06.994949,1036713955
2026-03-06 21:27:07.031316,0
2026-03-06 21:27:07.096782,1037146598
2026-03-06 21:27:07.132834,0
2026-03-06 21:27:07.198719,1037038437
