time,PT_Cal.Fuel_Upstream.pressure_psi
2026-03-06 21:34:57.136311,7.4911466
2026-03-06 21:34:57.136968,7.553432
2026-03-06 21:34:57.24457,7.494185
2026-03-06 21:34:57.244715,0.2592574
2026-03-06 21:34:57.245086,7.4003754
2026-03-06 21:34:57.245374,7.5014005
2026-03-06 21:34:57.245663,7.4125285
2026-03-06 21:34:57.353383,7.481652
2026-03-06 21:34:57.353586,0.25923517
2026-03-06 21:34:57.353775,7.4436727
2026-03-06 21:34:57.353865,7.8378863
2026-03-06 21:34:57.354001,7.7892756
2026-03-06 21:34:57.354484,7.449749
2026-03-06 21:34:57.462488,7.4417734
2026-03-06 21:34:57.463086,7.744083
2026-03-06 21:34:57.463087,0.25916436
2026-03-06 21:34:57.463709,7.8397846
2026-03-06 21:34:57.464086,7.4960837
2026-03-06 21:34:57.57152,7.456586
2026-03-06 21:34:57.571808,7.499502
2026-03-06 21:34:57.572039,7.4364557
2026-03-06 21:34:57.57222,0.25919068
2026-03-06 21:34:57.572581,7.852317
2026-03-06 21:34:57.68055,7.403794
2026-03-06 21:34:57.68086,7.469119
2026-03-06 21:34:57.681149,7.4182262
2026-03-06 21:34:57.681361,0.25909695
2026-03-06 21:34:57.789824,7.715599
2026-03-06 21:34:57.790126,7.515453
2026-03-06 21:34:57.790393,0.2596505
2026-03-06 21:34:57.790422,7.535202
2026-03-06 21:34:57.790707,7.455446
2026-03-06 21:34:57.898721,7.519631
2026-03-06 21:34:57.899043,7.4824114
2026-03-06 21:34:57.899382,7.497224
2026-03-06 21:34:57.899383,0.2593026
2026-03-06 21:34:58.007353,0.2590774
2026-03-06 21:34:58.007391,7.3927794
2026-03-06 21:34:58.007667,7.3832846
2026-03-06 21:34:58.007842,7.489248
2026-03-06 21:34:58.116233,7.435317
2026-03-06 21:34:58.116413,0.25915292
2026-03-06 21:34:58.116527,7.817758
2026-03-06 21:34:58.116771,7.910042
2026-03-06 21:34:58.11712,7.4755754
2026-03-06 21:34:58.224756,7.388602
2026-03-06 21:34:58.224832,7.5287457
2026-03-06 21:34:58.224881,7.5033
2026-03-06 21:34:58.224904,0.25906998
2026-03-06 21:34:58.224947,7.4911466
2026-03-06 21:34:58.33474,7.824214
2026-03-06 21:34:58.335026,7.4824114
2026-03-06 21:34:58.335318,7.871685
2026-03-06 21:34:58.335305,0.25984332
2026-03-06 21:34:58.335629,7.8861165
2026-03-06 21:34:58.443747,7.5446973
2026-03-06 21:34:58.443985,7.52039
2026-03-06 21:34:58.444184,7.5257077
2026-03-06 21:34:58.444234,0.25934708
2026-03-06 21:34:58.551779,7.5287457
2026-03-06 21:34:58.552155,7.4751954
2026-03-06 21:34:58.552414,0.25931877
2026-03-06 21:34:58.552736,7.684458
2026-03-06 21:34:58.661374,7.4668393
2026-03-06 21:34:58.661644,7.4960837
2026-03-06 21:34:58.661813,7.491906
2026-03-06 21:34:58.661906,0.25920886
2026-03-06 21:34:58.662007,7.532544
2026-03-06 21:34:58.662287,7.468359
