time,ACT.GSE_High_Press_Vent.channel_id
2026-03-06 21:20:09.650961,5
2026-03-06 21:20:09.650986,5
2026-03-06 21:20:09.709431,5
2026-03-06 21:20:09.709446,5
2026-03-06 21:20:09.752818,5
2026-03-06 21:20:09.752836,5
2026-03-06 21:20:09.811442,5
2026-03-06 21:20:09.81146,5
2026-03-06 21:20:09.854971,5
2026-03-06 21:20:09.854987,5
2026-03-06 21:20:09.913408,5
2026-03-06 21:20:09.913423,5
2026-03-06 21:20:09.956745,5
2026-03-06 21:20:09.956758,5
2026-03-06 21:20:10.015449,5
2026-03-06 21:20:10.015464,5
2026-03-06 21:20:10.058564,5
2026-03-06 21:20:10.058577,5
2026-03-06 21:20:10.117565,5
2026-03-06 21:20:10.117581,5
2026-03-06 21:20:10.160927,5
2026-03-06 21:20:10.160948,5
2026-03-06 21:20:10.219459,5
2026-03-06 21:20:10.219472,5
2026-03-06 21:20:10.262488,5
2026-03-06 21:20:10.262507,5
2026-03-06 21:20:10.321232,5
2026-03-06 21:20:10.32124,5
2026-03-06 21:20:10.364687,5
2026-03-06 21:20:10.364698,5
2026-03-06 21:20:10.423295,5
2026-03-06 21:20:10.423303,5
2026-03-06 21:20:10.466573,5
2026-03-06 21:20:10.466587,5
2026-03-06 21:20:10.52541,5
2026-03-06 21:20:10.525419,5
2026-03-06 21:20:10.568832,5
2026-03-06 21:20:10.568843,5
2026-03-06 21:20:10.627556,5
2026-03-06 21:20:10.627565,5
2026-03-06 21:20:10.670934,5
2026-03-06 21:20:10.670954,5
2026-03-06 21:20:10.729246,5
2026-03-06 21:20:10.72926,5
2026-03-06 21:20:10.772826,5
2026-03-06 21:20:10.772847,5
2026-03-06 21:20:10.831882,5
2026-03-06 21:20:10.831903,5
2026-03-06 21:20:10.874809,5
2026-03-06 21:20:10.87482,5
2026-03-06 21:20:10.933285,5
2026-03-06 21:20:10.933296,5
2026-03-06 21:20:10.97658,5
2026-03-06 21:20:10.976601,5
2026-03-06 21:20:11.035298,5
2026-03-06 21:20:11.035314,5
2026-03-06 21:20:11.078589,5
2026-03-06 21:20:11.078604,5
2026-03-06 21:20:11.137819,5
2026-03-06 21:20:11.137834,5
2026-03-06 21:20:11.180943,5
2026-03-06 21:20:11.180957,5
2026-03-06 21:20:11.239664,5
2026-03-06 21:20:11.239679,5
2026-03-06 21:20:11.282538,5
2026-03-06 21:20:11.282554,5
2026-03-06 21:20:11.341299,5
2026-03-06 21:20:11.341312,5
2026-03-06 21:20:11.384483,5
2026-03-06 21:20:11.384498,5
2026-03-06 21:20:11.443485,5
2026-03-06 21:20:11.443506,5
2026-03-06 21:20:11.486717,5
2026-03-06 21:20:11.48674,5
2026-03-06 21:20:11.545695,5
2026-03-06 21:20:11.545708,5
2026-03-06 21:20:11.5886,5
2026-03-06 21:20:11.588621,5
2026-03-06 21:20:11.647743,5
2026-03-06 21:20:11.647758,5
2026-03-06 21:20:11.690684,5
2026-03-06 21:20:11.690701,5
2026-03-06 21:20:11.749672,5
2026-03-06 21:20:11.749691,5
2026-03-06 21:20:11.792581,5
2026-03-06 21:20:11.792596,5
2026-03-06 21:20:11.851329,5
2026-03-06 21:20:11.851344,5
2026-03-06 21:20:11.894545,5
2026-03-06 21:20:11.894558,5
2026-03-06 21:20:11.953764,5
2026-03-06 21:20:11.953781,5
2026-03-06 21:20:11.996932,5
2026-03-06 21:20:11.996949,5
2026-03-06 21:20:12.05525,5
2026-03-06 21:20:12.055263,5
2026-03-06 21:20:12.098671,5
2026-03-06 21:20:12.098686,5
2026-03-06 21:20:12.157325,5
2026-03-06 21:20:12.157341,5
2026-03-06 21:20:12.200728,5
2026-03-06 21:20:12.200741,5
2026-03-06 21:20:12.259371,5
2026-03-06 21:20:12.259385,5
2026-03-06 21:20:12.302805,5
2026-03-06 21:20:12.302819,5
2026-03-06 21:20:12.361624,5
2026-03-06 21:20:12.361639,5
2026-03-06 21:20:12.404939,5
2026-03-06 21:20:12.404959,5
2026-03-06 21:20:12.463548,5
2026-03-06 21:20:12.463568,5
2026-03-06 21:20:12.506942,5
2026-03-06 21:20:12.506961,5
2026-03-06 21:20:12.565906,5
2026-03-06 21:20:12.565929,5
2026-03-06 21:20:12.608756,5
2026-03-06 21:20:12.608779,5
2026-03-06 21:20:12.667846,5
2026-03-06 21:20:12.667873,5
2026-03-06 21:20:12.710828,5
2026-03-06 21:20:12.710848,5
2026-03-06 21:20:12.769628,5
2026-03-06 21:20:12.769646,5
2026-03-06 21:20:12.812629,5
2026-03-06 21:20:12.812645,5
2026-03-06 21:20:12.871523,5
2026-03-06 21:20:12.871553,5
2026-03-06 21:20:12.914506,5
2026-03-06 21:20:12.914529,5
2026-03-06 21:20:12.973666,5
2026-03-06 21:20:12.973689,5
2026-03-06 21:20:13.017336,5
2026-03-06 21:20:13.017366,5
2026-03-06 21:20:13.075748,5
2026-03-06 21:20:13.075768,5
2026-03-06 21:20:13.118644,5
2026-03-06 21:20:13.118658,5
2026-03-06 21:20:13.178022,5
2026-03-06 21:20:13.178034,5
2026-03-06 21:20:13.220708,5
2026-03-06 21:20:13.220719,5
2026-03-06 21:20:13.279468,5
2026-03-06 21:20:13.279479,5
2026-03-06 21:20:13.322409,5
2026-03-06 21:20:13.322417,5
2026-03-06 21:20:13.381615,5
2026-03-06 21:20:13.381639,5
2026-03-06 21:20:13.424516,5
2026-03-06 21:20:13.424527,5
2026-03-06 21:20:13.483374,5
2026-03-06 21:20:13.483387,5
2026-03-06 21:20:13.526808,5
2026-03-06 21:20:13.526828,5
2026-03-06 21:20:13.585502,5
2026-03-06 21:20:13.585515,5
2026-03-06 21:20:13.628681,5
2026-03-06 21:20:13.628695,5
2026-03-06 21:20:13.687511,5
2026-03-06 21:20:13.687527,5
2026-03-06 21:20:13.730564,5
2026-03-06 21:20:13.730578,5
2026-03-06 21:20:13.789387,5
2026-03-06 21:20:13.789399,5
2026-03-06 21:20:13.832696,5
2026-03-06 21:20:13.832719,5
2026-03-06 21:20:13.8916,5
2026-03-06 21:20:13.891615,5
2026-03-06 21:20:13.934885,5
2026-03-06 21:20:13.9349,5
2026-03-06 21:20:13.993792,5
2026-03-06 21:20:13.993806,5
2026-03-06 21:20:14.036952,5
2026-03-06 21:20:14.036966,5
2026-03-06 21:20:14.095294,5
2026-03-06 21:20:14.095317,5
2026-03-06 21:20:14.138782,5
2026-03-06 21:20:14.138798,5
2026-03-06 21:20:14.197424,5
2026-03-06 21:20:14.197444,5
2026-03-06 21:20:14.240875,5
2026-03-06 21:20:14.240888,5
2026-03-06 21:20:14.29982,5
2026-03-06 21:20:14.299835,5
2026-03-06 21:20:14.34257,5
2026-03-06 21:20:14.342589,5
2026-03-06 21:20:14.401653,5
2026-03-06 21:20:14.401667,5
2026-03-06 21:20:14.444804,5
2026-03-06 21:20:14.444819,5
2026-03-06 21:20:14.503592,5
2026-03-06 21:20:14.503603,5
2026-03-06 21:20:14.546982,5
2026-03-06 21:20:14.546996,5
2026-03-06 21:20:14.605646,5
2026-03-06 21:20:14.605664,5
2026-03-06 21:20:14.649238,5
2026-03-06 21:20:14.649258,5
2026-03-06 21:20:14.707522,5
2026-03-06 21:20:14.707536,5
2026-03-06 21:20:14.750901,5
2026-03-06 21:20:14.750917,5
2026-03-06 21:20:14.809678,5
2026-03-06 21:20:14.809687,5
2026-03-06 21:20:14.852917,5
2026-03-06 21:20:14.852941,5
2026-03-06 21:20:14.91138,5
2026-03-06 21:20:14.911401,5
2026-03-06 21:20:14.954994,5
2026-03-06 21:20:14.955004,5
2026-03-06 21:20:15.013497,5
2026-03-06 21:20:15.013516,5
2026-03-06 21:20:15.056757,5
2026-03-06 21:20:15.056767,5
2026-03-06 21:20:15.115422,5
2026-03-06 21:20:15.115436,5
2026-03-06 21:20:15.158826,5
2026-03-06 21:20:15.158842,5
