time,ACT.GSE_High_Press_Vent.timestamp_ns
2026-03-06 21:17:18.857718,1772831838857382555
2026-03-06 21:17:18.857744,1772831838857382555
2026-03-06 21:17:18.901746,1772831838901496431
2026-03-06 21:17:18.901765,1772831838901496431
2026-03-06 21:17:18.960062,1772831838959742491
2026-03-06 21:17:18.960087,1772831838959742491
2026-03-06 21:17:19.003879,1772831839003514295
2026-03-06 21:17:19.003906,1772831839003514295
2026-03-06 21:17:19.061811,1772831839061495454
2026-03-06 21:17:19.061845,1772831839061495454
2026-03-06 21:17:19.105878,1772831839105547697
2026-03-06 21:17:19.105909,1772831839105547697
2026-03-06 21:17:19.163812,1772831839163422838
2026-03-06 21:17:19.163826,1772831839163422838
2026-03-06 21:17:19.207763,1772831839207520976
2026-03-06 21:17:19.207781,1772831839207520976
2026-03-06 21:17:19.265579,1772831839265232064
2026-03-06 21:17:19.265605,1772831839265232064
2026-03-06 21:17:19.310002,1772831839309679755
2026-03-06 21:17:19.310029,1772831839309679755
2026-03-06 21:17:19.368057,1772831839367685638
2026-03-06 21:17:19.368088,1772831839367685638
2026-03-06 21:17:19.411653,1772831839411306213
2026-03-06 21:17:19.411681,1772831839411306213
2026-03-06 21:17:19.470247,1772831839469871187
2026-03-06 21:17:19.470294,1772831839469871187
2026-03-06 21:17:19.514063,1772831839513633166
2026-03-06 21:17:19.51409,1772831839513633166
2026-03-06 21:17:19.57205,1772831839571715033
2026-03-06 21:17:19.572078,1772831839571715033
2026-03-06 21:17:19.615927,1772831839615702223
2026-03-06 21:17:19.615952,1772831839615702223
2026-03-06 21:17:19.674012,1772831839673630121
2026-03-06 21:17:19.674048,1772831839673630121
2026-03-06 21:17:19.717626,1772831839717432996
2026-03-06 21:17:19.717639,1772831839717432996
2026-03-06 21:17:19.775929,1772831839775666507
2026-03-06 21:17:19.77595,1772831839775666507
2026-03-06 21:17:19.819678,1772831839819501992
2026-03-06 21:17:19.819699,1772831839819501992
2026-03-06 21:17:19.877717,1772831839877387206
