time,ACT.GSE_Med_Press_Control.timestamp_ns
2026-03-06 21:14:23.970552,1772831663970171830
2026-03-06 21:14:24.02645,1772831664025320823
2026-03-06 21:14:24.026477,1772831664025320823
2026-03-06 21:14:24.072156,1772831664071944950
2026-03-06 21:14:24.072188,1772831664071944950
2026-03-06 21:14:24.127916,1772831664127409988
2026-03-06 21:14:24.12793,1772831664127409988
2026-03-06 21:14:24.174216,1772831664174072155
2026-03-06 21:14:24.174234,1772831664174072155
2026-03-06 21:14:24.22951,1772831664229378889
2026-03-06 21:14:24.229531,1772831664229378889
2026-03-06 21:14:24.276194,1772831664276044661
2026-03-06 21:14:24.276209,1772831664276044661
2026-03-06 21:14:24.331386,1772831664331271607
2026-03-06 21:14:24.331404,1772831664331271607
2026-03-06 21:14:24.378519,1772831664378200122
2026-03-06 21:14:24.378549,1772831664378200122
2026-03-06 21:14:24.433659,1772831664433483863
2026-03-06 21:14:24.433676,1772831664433483863
2026-03-06 21:14:24.480578,1772831664480328698
2026-03-06 21:14:24.480598,1772831664480328698
2026-03-06 21:14:24.535443,1772831664535185295
2026-03-06 21:14:24.535474,1772831664535185295
2026-03-06 21:14:24.582108,1772831664581947099
2026-03-06 21:14:24.582118,1772831664581947099
2026-03-06 21:14:24.637763,1772831664637470115
2026-03-06 21:14:24.637795,1772831664637470115
2026-03-06 21:14:24.684539,1772831664684350150
2026-03-06 21:14:24.68456,1772831664684350150
2026-03-06 21:14:24.739709,1772831664739492544
2026-03-06 21:14:24.739737,1772831664739492544
2026-03-06 21:14:24.786466,1772831664786233981
2026-03-06 21:14:24.786485,1772831664786233981
2026-03-06 21:14:24.841277,1772831664841073047
2026-03-06 21:14:24.841292,1772831664841073047
2026-03-06 21:14:24.888402,1772831664888227846
2026-03-06 21:14:24.88842,1772831664888227846
2026-03-06 21:14:24.943608,1772831664943440141
2026-03-06 21:14:24.943631,1772831664943440141
2026-03-06 21:14:24.99041,1772831664989994879
2026-03-06 21:14:24.990449,1772831664989994879
2026-03-06 21:14:25.045864,1772831665045612452
2026-03-06 21:14:25.045893,1772831665045612452
2026-03-06 21:14:25.092539,1772831665092338376
2026-03-06 21:14:25.092562,1772831665092338376
2026-03-06 21:14:25.147335,1772831665147144911
2026-03-06 21:14:25.147363,1772831665147144911
2026-03-06 21:14:25.194487,1772831665194216571
2026-03-06 21:14:25.19451,1772831665194216571
2026-03-06 21:14:25.249546,1772831665249460663
2026-03-06 21:14:25.249557,1772831665249460663
2026-03-06 21:14:25.296372,1772831665296083141
2026-03-06 21:14:25.296403,1772831665296083141
2026-03-06 21:14:25.351448,1772831665351249463
2026-03-06 21:14:25.351469,1772831665351249463
2026-03-06 21:14:25.39875,1772831665398442671
2026-03-06 21:14:25.398776,1772831665398442671
2026-03-06 21:14:25.453342,1772831665453191134
2026-03-06 21:14:25.45336,1772831665453191134
2026-03-06 21:14:25.500395,1772831665500107933
2026-03-06 21:14:25.500423,1772831665500107933
2026-03-06 21:14:25.555745,1772831665555509296
2026-03-06 21:14:25.555769,1772831665555509296
2026-03-06 21:14:25.60265,1772831665602328404
2026-03-06 21:14:25.602674,1772831665602328404
2026-03-06 21:14:25.657787,1772831665657542730
2026-03-06 21:14:25.657808,1772831665657542730
2026-03-06 21:14:25.704411,1772831665704053424
2026-03-06 21:14:25.704441,1772831665704053424
2026-03-06 21:14:25.759385,1772831665759246091
2026-03-06 21:14:25.759401,1772831665759246091
2026-03-06 21:14:25.806421,1772831665806125945
2026-03-06 21:14:25.806441,1772831665806125945
2026-03-06 21:14:25.861371,1772831665861196262
2026-03-06 21:14:25.861387,1772831665861196262
2026-03-06 21:14:25.908322,1772831665908042015
2026-03-06 21:14:25.908348,1772831665908042015
2026-03-06 21:14:25.963353,1772831665963207663
2026-03-06 21:14:25.963371,1772831665963207663
2026-03-06 21:14:26.010141,1772831666009955000
2026-03-06 21:14:26.010164,1772831666009955000
2026-03-06 21:14:26.06577,1772831666065583996
2026-03-06 21:14:26.065787,1772831666065583996
2026-03-06 21:14:26.112674,1772831666112469493
2026-03-06 21:14:26.112696,1772831666112469493
2026-03-06 21:14:26.167448,1772831666167249619
2026-03-06 21:14:26.167472,1772831666167249619
2026-03-06 21:14:26.214312,1772831666214051564
2026-03-06 21:14:26.214332,1772831666214051564
2026-03-06 21:14:26.269683,1772831666269364331
2026-03-06 21:14:26.26971,1772831666269364331
2026-03-06 21:14:26.316594,1772831666316343942
2026-03-06 21:14:26.316617,1772831666316343942
2026-03-06 21:14:26.371914,1772831666371628723
2026-03-06 21:14:26.371939,1772831666371628723
2026-03-06 21:14:26.418596,1772831666418377074
2026-03-06 21:14:26.418621,1772831666418377074
2026-03-06 21:14:26.473333,1772831666473174643
2026-03-06 21:14:26.473353,1772831666473174643
2026-03-06 21:14:26.520208,1772831666519967318
