time,ACT.Fuel_Fill_Vent.status
2026-03-06 21:16:34.995176,0
2026-03-06 21:16:35.041338,0
2026-03-06 21:16:35.097053,0
2026-03-06 21:16:35.143267,0
2026-03-06 21:16:35.199355,0
2026-03-06 21:16:35.245476,0
2026-03-06 21:16:35.300935,0
2026-03-06 21:16:35.347036,0
2026-03-06 21:16:35.40337,0
2026-03-06 21:16:35.449644,0
2026-03-06 21:16:35.505053,0
2026-03-06 21:16:35.551175,0
2026-03-06 21:16:35.60696,0
2026-03-06 21:16:35.653402,0
2026-03-06 21:16:35.709277,0
2026-03-06 21:16:35.755339,0
2026-03-06 21:16:35.810952,0
2026-03-06 21:16:35.85732,0
2026-03-06 21:16:35.913073,0
2026-03-06 21:16:35.959612,0
2026-03-06 21:16:36.015319,0
2026-03-06 21:16:36.061471,0
2026-03-06 21:16:36.117353,0
2026-03-06 21:16:36.164389,0
2026-03-06 21:16:36.219384,0
2026-03-06 21:16:36.265667,0
2026-03-06 21:16:36.321128,0
2026-03-06 21:16:36.368019,0
2026-03-06 21:16:36.423203,0
2026-03-06 21:16:36.469107,0
2026-03-06 21:16:36.525189,0
2026-03-06 21:16:36.571975,0
2026-03-06 21:16:36.627082,0
2026-03-06 21:16:36.673347,0
2026-03-06 21:16:36.729509,0
2026-03-06 21:16:36.775593,0
2026-03-06 21:16:36.831457,0
2026-03-06 21:16:36.877447,0
2026-03-06 21:16:36.933282,0
2026-03-06 21:16:36.979131,0
2026-03-06 21:16:37.035409,0
2026-03-06 21:16:37.081282,0
2026-03-06 21:16:37.138,0
2026-03-06 21:16:37.183217,0
2026-03-06 21:16:37.239515,0
2026-03-06 21:16:37.285528,0
2026-03-06 21:16:37.341609,0
2026-03-06 21:16:37.387692,0
2026-03-06 21:16:37.443309,0
2026-03-06 21:16:37.489736,0
2026-03-06 21:16:37.54489,0
2026-03-06 21:16:37.591753,0
2026-03-06 21:16:37.647085,0
2026-03-06 21:16:37.693541,0
2026-03-06 21:16:37.749149,0
2026-03-06 21:16:37.795373,0
2026-03-06 21:16:37.851315,0
2026-03-06 21:16:37.897452,0
2026-03-06 21:16:37.953316,0
2026-03-06 21:16:37.999392,0
2026-03-06 21:16:38.054926,0
2026-03-06 21:16:38.101273,0
2026-03-06 21:16:38.157504,0
2026-03-06 21:16:38.203689,0
2026-03-06 21:16:38.259012,0
2026-03-06 21:16:38.305276,0
2026-03-06 21:16:38.361536,0
2026-03-06 21:16:38.407503,0
2026-03-06 21:16:38.46363,0
2026-03-06 21:16:38.509398,0
2026-03-06 21:16:38.565595,0
2026-03-06 21:16:38.611375,0
2026-03-06 21:16:38.667543,0
2026-03-06 21:16:38.71375,0
2026-03-06 21:16:38.769393,0
2026-03-06 21:16:38.815621,0
2026-03-06 21:16:38.871282,0
2026-03-06 21:16:38.917472,0
