time,ACT.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:21.930639,1772831661930184169
2026-03-06 21:14:21.930664,1772831661930184169
2026-03-06 21:14:21.986199,1772831661985661793
2026-03-06 21:14:21.986227,1772831661985661793
2026-03-06 21:14:22.032959,1772831662032398067
2026-03-06 21:14:22.032987,1772831662032398067
2026-03-06 21:14:22.088371,1772831662087540836
2026-03-06 21:14:22.088406,1772831662087540836
2026-03-06 21:14:22.134813,1772831662134186440
2026-03-06 21:14:22.134849,1772831662134186440
2026-03-06 21:14:22.190028,1772831662189453751
2026-03-06 21:14:22.190058,1772831662189453751
2026-03-06 21:14:22.236675,1772831662236267736
2026-03-06 21:14:22.236693,1772831662236267736
2026-03-06 21:14:22.291867,1772831662291229530
2026-03-06 21:14:22.291898,1772831662291229530
2026-03-06 21:14:22.338442,1772831662338044955
2026-03-06 21:14:22.338462,1772831662338044955
2026-03-06 21:14:22.394,1772831662393196453
2026-03-06 21:14:22.394034,1772831662393196453
2026-03-06 21:14:22.440678,1772831662440197739
2026-03-06 21:14:22.440705,1772831662440197739
2026-03-06 21:14:22.495985,1772831662495229110
2026-03-06 21:14:22.496018,1772831662495229110
2026-03-06 21:14:22.542759,1772831662542314892
2026-03-06 21:14:22.542782,1772831662542314892
2026-03-06 21:14:22.598079,1772831662597558560
2026-03-06 21:14:22.598111,1772831662597558560
2026-03-06 21:14:22.644798,1772831662644391042
2026-03-06 21:14:22.644812,1772831662644391042
2026-03-06 21:14:22.699801,1772831662699480000
2026-03-06 21:14:22.69982,1772831662699480000
2026-03-06 21:14:22.746504,1772831662746202352
2026-03-06 21:14:22.746519,1772831662746202352
2026-03-06 21:14:22.801658,1772831662801354919
2026-03-06 21:14:22.801673,1772831662801354919
2026-03-06 21:14:22.848438,1772831662848136234
2026-03-06 21:14:22.848446,1772831662848136234
2026-03-06 21:14:22.903894,1772831662903480220
2026-03-06 21:14:22.90391,1772831662903480220
2026-03-06 21:14:22.950555,1772831662950351574
2026-03-06 21:14:22.950569,1772831662950351574
2026-03-06 21:14:23.00542,1772831663005143206
2026-03-06 21:14:23.005428,1772831663005143206
2026-03-06 21:14:23.052484,1772831663052166678
2026-03-06 21:14:23.0525,1772831663052166678
2026-03-06 21:14:23.10794,1772831663107565539
2026-03-06 21:14:23.107962,1772831663107565539
2026-03-06 21:14:23.154551,1772831663154220816
2026-03-06 21:14:23.15457,1772831663154220816
2026-03-06 21:14:23.209606,1772831663209245345
2026-03-06 21:14:23.209624,1772831663209245345
2026-03-06 21:14:23.256427,1772831663256095112
2026-03-06 21:14:23.256444,1772831663256095112
2026-03-06 21:14:23.311894,1772831663311416119
2026-03-06 21:14:23.311924,1772831663311416119
2026-03-06 21:14:23.35836,1772831663358003547
2026-03-06 21:14:23.358369,1772831663358003547
2026-03-06 21:14:23.413591,1772831663413216531
2026-03-06 21:14:23.41361,1772831663413216531
2026-03-06 21:14:23.460497,1772831663460231918
2026-03-06 21:14:23.46051,1772831663460231918
2026-03-06 21:14:23.515566,1772831663515299532
2026-03-06 21:14:23.515577,1772831663515299532
2026-03-06 21:14:23.562752,1772831663562392288
2026-03-06 21:14:23.562767,1772831663562392288
2026-03-06 21:14:23.61808,1772831663617636664
2026-03-06 21:14:23.618104,1772831663617636664
2026-03-06 21:14:23.664848,1772831663664335131
2026-03-06 21:14:23.664872,1772831663664335131
2026-03-06 21:14:23.71977,1772831663719197645
2026-03-06 21:14:23.719799,1772831663719197645
2026-03-06 21:14:23.766664,1772831663766361461
2026-03-06 21:14:23.766679,1772831663766361461
2026-03-06 21:14:23.821831,1772831663821355460
2026-03-06 21:14:23.821849,1772831663821355460
2026-03-06 21:14:23.868395,1772831663868034365
2026-03-06 21:14:23.868407,1772831663868034365
2026-03-06 21:14:23.924021,1772831663923691531
2026-03-06 21:14:23.924034,1772831663923691531
2026-03-06 21:14:23.970819,1772831663970171830
2026-03-06 21:14:23.970849,1772831663970171830
2026-03-06 21:14:24.026697,1772831664025320823
2026-03-06 21:14:24.026725,1772831664025320823
2026-03-06 21:14:24.072411,1772831664071944950
2026-03-06 21:14:24.072438,1772831664071944950
2026-03-06 21:14:24.128024,1772831664127409988
2026-03-06 21:14:24.128039,1772831664127409988
2026-03-06 21:14:24.174353,1772831664174072155
2026-03-06 21:14:24.174366,1772831664174072155
2026-03-06 21:14:24.229621,1772831664229378889
2026-03-06 21:14:24.229634,1772831664229378889
2026-03-06 21:14:24.276346,1772831664276044661
2026-03-06 21:14:24.276362,1772831664276044661
2026-03-06 21:14:24.331553,1772831664331271607
2026-03-06 21:14:24.331572,1772831664331271607
2026-03-06 21:14:24.378883,1772831664378200122
2026-03-06 21:14:24.37892,1772831664378200122
2026-03-06 21:14:24.433879,1772831664433483863
2026-03-06 21:14:24.433898,1772831664433483863
2026-03-06 21:14:24.480825,1772831664480328698
2026-03-06 21:14:24.48085,1772831664480328698
2026-03-06 21:14:24.53574,1772831664535185295
2026-03-06 21:14:24.53577,1772831664535185295
2026-03-06 21:14:24.582235,1772831664581947099
2026-03-06 21:14:24.582248,1772831664581947099
2026-03-06 21:14:24.638021,1772831664637470115
2026-03-06 21:14:24.638047,1772831664637470115
2026-03-06 21:14:24.68474,1772831664684350150
2026-03-06 21:14:24.68476,1772831664684350150
2026-03-06 21:14:24.740011,1772831664739492544
2026-03-06 21:14:24.740039,1772831664739492544
