time,PT_Cal.GN2_Regulated.cal_status
2026-03-06 21:23:56.474873,1
2026-03-06 21:23:56.475344,0
2026-03-06 21:23:56.58325,1
2026-03-06 21:23:56.58329,1
2026-03-06 21:23:56.583308,1
2026-03-06 21:23:56.58341,1
2026-03-06 21:23:56.58347,1
2026-03-06 21:23:56.583623,1
2026-03-06 21:23:56.583845,0
2026-03-06 21:23:56.692449,1
2026-03-06 21:23:56.692651,1
2026-03-06 21:23:56.693354,0
2026-03-06 21:23:56.801004,1
2026-03-06 21:23:56.80104,1
2026-03-06 21:23:56.801062,1
2026-03-06 21:23:56.801116,1
2026-03-06 21:23:56.801223,1
2026-03-06 21:23:56.801532,0
2026-03-06 21:23:56.910043,1
2026-03-06 21:23:56.910181,1
2026-03-06 21:23:56.9104,1
2026-03-06 21:23:56.910574,0
2026-03-06 21:23:57.019275,1
2026-03-06 21:23:57.019301,1
2026-03-06 21:23:57.019313,1
2026-03-06 21:23:57.019408,1
2026-03-06 21:23:57.019547,1
2026-03-06 21:23:57.019748,0
2026-03-06 21:23:57.12818,1
2026-03-06 21:23:57.128318,1
2026-03-06 21:23:57.128485,1
2026-03-06 21:23:57.128652,1
2026-03-06 21:23:57.128802,0
2026-03-06 21:23:57.128867,1
2026-03-06 21:23:57.129113,1
2026-03-06 21:23:57.237657,1
2026-03-06 21:23:57.237724,1
2026-03-06 21:23:57.237789,1
2026-03-06 21:23:57.237846,1
2026-03-06 21:23:57.237907,1
2026-03-06 21:23:57.238022,1
2026-03-06 21:23:57.238044,0
2026-03-06 21:23:57.346603,1
2026-03-06 21:23:57.34664,1
2026-03-06 21:23:57.34668,1
2026-03-06 21:23:57.346763,1
2026-03-06 21:23:57.346895,1
2026-03-06 21:23:57.347055,1
2026-03-06 21:23:57.347074,0
2026-03-06 21:23:57.455383,1
2026-03-06 21:23:57.455435,1
2026-03-06 21:23:57.455447,1
2026-03-06 21:23:57.455588,1
2026-03-06 21:23:57.455716,1
2026-03-06 21:23:57.456209,0
2026-03-06 21:23:57.564325,1
2026-03-06 21:23:57.56437,1
2026-03-06 21:23:57.564402,1
2026-03-06 21:23:57.56443,1
2026-03-06 21:23:57.564472,1
2026-03-06 21:23:57.564578,0
2026-03-06 21:23:57.564655,1
2026-03-06 21:23:57.67339,1
2026-03-06 21:23:57.673418,1
2026-03-06 21:23:57.673446,1
2026-03-06 21:23:57.673832,1
2026-03-06 21:23:57.673961,1
2026-03-06 21:23:57.674251,1
2026-03-06 21:23:57.674325,0
2026-03-06 21:23:57.782334,1
2026-03-06 21:23:57.782404,1
2026-03-06 21:23:57.782442,1
2026-03-06 21:23:57.782519,1
2026-03-06 21:23:57.782607,1
2026-03-06 21:23:57.7829,0
2026-03-06 21:23:57.891451,1
2026-03-06 21:23:57.891512,1
2026-03-06 21:23:57.891592,1
2026-03-06 21:23:57.891673,1
2026-03-06 21:23:57.891756,1
2026-03-06 21:23:57.891958,0
2026-03-06 21:23:58.000272,1
