time,ACT.LOX_Dump.raw_adc_counts
2026-03-06 21:28:51.257927,0
2026-03-06 21:28:51.341147,0
2026-03-06 21:28:51.360506,0
2026-03-06 21:28:51.443343,0
2026-03-06 21:28:51.462406,0
2026-03-06 21:28:51.545395,0
2026-03-06 21:28:51.564385,0
2026-03-06 21:28:51.647367,0
2026-03-06 21:28:51.666129,0
2026-03-06 21:28:51.74917,0
2026-03-06 21:28:51.767991,0
2026-03-06 21:28:51.851195,0
2026-03-06 21:28:51.87006,0
2026-03-06 21:28:51.953437,0
2026-03-06 21:28:51.972214,0
2026-03-06 21:28:52.055333,0
2026-03-06 21:28:52.073841,0
2026-03-06 21:28:52.157196,0
2026-03-06 21:28:52.176089,0
2026-03-06 21:28:52.259056,0
2026-03-06 21:28:52.278524,0
2026-03-06 21:28:52.36155,0
2026-03-06 21:28:52.380304,0
2026-03-06 21:28:52.463583,0
2026-03-06 21:28:52.482167,0
2026-03-06 21:28:52.565507,0
2026-03-06 21:28:52.584265,0
2026-03-06 21:28:52.667197,0
2026-03-06 21:28:52.686183,0
2026-03-06 21:28:52.769096,0
2026-03-06 21:28:52.7874,0
2026-03-06 21:28:52.871554,0
2026-03-06 21:28:52.889153,0
2026-03-06 21:28:52.973256,0
2026-03-06 21:28:52.991393,0
2026-03-06 21:28:53.075271,0
2026-03-06 21:28:53.0932,0
2026-03-06 21:28:53.177336,0
2026-03-06 21:28:53.195075,0
2026-03-06 21:28:53.279211,0
2026-03-06 21:28:53.297097,0
2026-03-06 21:28:53.381136,0
2026-03-06 21:28:53.39927,0
2026-03-06 21:28:53.483412,0
2026-03-06 21:28:53.501043,0
2026-03-06 21:28:53.585541,0
2026-03-06 21:28:53.603188,0
2026-03-06 21:28:53.687399,0
2026-03-06 21:28:53.70492,0
2026-03-06 21:28:53.78922,0
2026-03-06 21:28:53.807483,0
2026-03-06 21:28:53.891503,0
2026-03-06 21:28:53.90945,0
2026-03-06 21:28:53.993604,0
2026-03-06 21:28:54.011412,0
2026-03-06 21:28:54.095775,0
2026-03-06 21:28:54.113866,0
2026-03-06 21:28:54.197524,0
2026-03-06 21:28:54.215129,0
2026-03-06 21:28:54.299496,0
2026-03-06 21:28:54.317064,0
2026-03-06 21:28:54.40172,0
2026-03-06 21:28:54.419815,0
2026-03-06 21:28:54.503505,0
2026-03-06 21:28:54.521198,0
2026-03-06 21:28:54.605469,0
2026-03-06 21:28:54.623071,0
2026-03-06 21:28:54.707297,0
2026-03-06 21:28:54.724931,0
2026-03-06 21:28:54.809392,0
2026-03-06 21:28:54.827338,0
2026-03-06 21:28:54.911689,0
2026-03-06 21:28:54.928994,0
2026-03-06 21:28:55.013621,0
2026-03-06 21:28:55.031525,0
2026-03-06 21:28:55.115613,0
2026-03-06 21:28:55.133134,0
2026-03-06 21:28:55.217338,0
2026-03-06 21:28:55.235337,0
2026-03-06 21:28:55.319563,0
2026-03-06 21:28:55.337235,0
2026-03-06 21:28:55.421495,0
2026-03-06 21:28:55.439449,0
2026-03-06 21:28:55.523186,0
2026-03-06 21:28:55.541395,0
2026-03-06 21:28:55.625551,0
2026-03-06 21:28:55.643373,0
2026-03-06 21:28:55.727166,0
2026-03-06 21:28:55.745382,0
2026-03-06 21:28:55.829449,0
2026-03-06 21:28:55.847213,0
2026-03-06 21:28:55.931562,0
2026-03-06 21:28:55.949325,0
2026-03-06 21:28:56.033099,0
2026-03-06 21:28:56.051192,0
2026-03-06 21:28:56.135359,0
2026-03-06 21:28:56.152921,0
2026-03-06 21:28:56.237236,0
2026-03-06 21:28:56.255461,0
2026-03-06 21:28:56.339445,0
2026-03-06 21:28:56.356991,0
2026-03-06 21:28:56.441452,0
2026-03-06 21:28:56.459077,0
2026-03-06 21:28:56.543149,0
2026-03-06 21:28:56.560975,0
2026-03-06 21:28:56.645468,0
2026-03-06 21:28:56.66333,0
2026-03-06 21:28:56.747348,0
2026-03-06 21:28:56.765596,0
2026-03-06 21:28:56.84924,0
2026-03-06 21:28:56.86715,0
2026-03-06 21:28:56.951571,0
2026-03-06 21:28:56.969233,0
2026-03-06 21:28:57.053175,0
2026-03-06 21:28:57.071069,0
2026-03-06 21:28:57.155589,0
2026-03-06 21:28:57.173434,0
2026-03-06 21:28:57.25756,0
2026-03-06 21:28:57.275418,0
2026-03-06 21:28:57.359501,0
2026-03-06 21:28:57.377049,0
2026-03-06 21:28:57.461197,0
2026-03-06 21:28:57.479295,0
2026-03-06 21:28:57.563069,0
2026-03-06 21:28:57.581512,0
2026-03-06 21:28:57.665455,0
2026-03-06 21:28:57.683324,0
2026-03-06 21:28:57.767382,0
2026-03-06 21:28:57.785476,0
2026-03-06 21:28:57.869417,0
2026-03-06 21:28:57.887021,0
2026-03-06 21:28:57.971278,0
2026-03-06 21:28:57.989266,0
2026-03-06 21:28:58.073707,0
2026-03-06 21:28:58.091524,0
2026-03-06 21:28:58.175889,0
2026-03-06 21:28:58.192941,0
2026-03-06 21:28:58.277436,0
2026-03-06 21:28:58.295328,0
2026-03-06 21:28:58.379337,0
2026-03-06 21:28:58.397218,0
2026-03-06 21:28:58.481368,0
2026-03-06 21:28:58.499155,0
2026-03-06 21:28:58.583623,0
2026-03-06 21:28:58.601497,0
2026-03-06 21:28:58.685193,0
2026-03-06 21:28:58.703347,0
2026-03-06 21:28:58.787213,0
2026-03-06 21:28:58.805122,0
2026-03-06 21:28:58.889456,0
2026-03-06 21:28:58.907051,0
2026-03-06 21:28:58.991004,0
