time,ACT.GSE_LOX_Fill_Vent.timestamp_ns
2026-03-06 21:15:46.080803,1772831746080637408
2026-03-06 21:15:46.080825,1772831746080637408
2026-03-06 21:15:46.136693,1772831746136556429
2026-03-06 21:15:46.136733,1772831746136556429
2026-03-06 21:15:46.183107,1772831746182966966
2026-03-06 21:15:46.183142,1772831746182966966
2026-03-06 21:15:46.238792,1772831746238629325
2026-03-06 21:15:46.238836,1772831746238629325
2026-03-06 21:15:46.284965,1772831746284844922
2026-03-06 21:15:46.28498,1772831746284844922
2026-03-06 21:15:46.340511,1772831746340460448
2026-03-06 21:15:46.340522,1772831746340460448
2026-03-06 21:15:46.387033,1772831746386934531
2026-03-06 21:15:46.387047,1772831746386934531
2026-03-06 21:15:46.442588,1772831746442338968
2026-03-06 21:15:46.442623,1772831746442338968
2026-03-06 21:15:46.489321,1772831746489087245
2026-03-06 21:15:46.489351,1772831746489087245
2026-03-06 21:15:46.544534,1772831746544329704
2026-03-06 21:15:46.54456,1772831746544329704
2026-03-06 21:15:46.590917,1772831746590827372
2026-03-06 21:15:46.590931,1772831746590827372
2026-03-06 21:15:46.646549,1772831746646372975
2026-03-06 21:15:46.64658,1772831746646372975
2026-03-06 21:15:46.692735,1772831746692613818
2026-03-06 21:15:46.69276,1772831746692613818
2026-03-06 21:15:46.74828,1772831746748134592
2026-03-06 21:15:46.74831,1772831746748134592
2026-03-06 21:15:46.795338,1772831746795220202
2026-03-06 21:15:46.795354,1772831746795220202
2026-03-06 21:15:46.850395,1772831746850271660
2026-03-06 21:15:46.850414,1772831746850271660
2026-03-06 21:15:46.897062,1772831746896862744
2026-03-06 21:15:46.897086,1772831746896862744
2026-03-06 21:15:46.95277,1772831746952653904
2026-03-06 21:15:46.952809,1772831746952653904
2026-03-06 21:15:46.999064,1772831746998943459
2026-03-06 21:15:46.999082,1772831746998943459
2026-03-06 21:15:47.054749,1772831747054602617
2026-03-06 21:15:47.054777,1772831747054602617
2026-03-06 21:15:47.100959,1772831747100724835
2026-03-06 21:15:47.100984,1772831747100724835
2026-03-06 21:15:47.156925,1772831747156798921
