time,ACT.GSE_High_Press_Vent.actuator_state
2026-03-06 21:21:25.947064,0
2026-03-06 21:21:26.006209,1
2026-03-06 21:21:26.049505,0
2026-03-06 21:21:26.108102,1
2026-03-06 21:21:26.15118,0
2026-03-06 21:21:26.209945,1
2026-03-06 21:21:26.252743,0
2026-03-06 21:21:26.312411,1
2026-03-06 21:21:26.355138,0
2026-03-06 21:21:26.414349,1
2026-03-06 21:21:26.456933,0
2026-03-06 21:21:26.516063,1
2026-03-06 21:21:26.558782,0
2026-03-06 21:21:26.618168,1
2026-03-06 21:21:26.661037,0
2026-03-06 21:21:26.719969,1
2026-03-06 21:21:26.763436,0
2026-03-06 21:21:26.82222,1
2026-03-06 21:21:26.865066,0
2026-03-06 21:21:26.924437,1
2026-03-06 21:21:26.967351,0
2026-03-06 21:21:27.026367,1
2026-03-06 21:21:27.069057,0
2026-03-06 21:21:27.127877,1
2026-03-06 21:21:27.170904,0
2026-03-06 21:21:27.23011,1
2026-03-06 21:21:27.272854,0
2026-03-06 21:21:27.33227,1
2026-03-06 21:21:27.375034,0
2026-03-06 21:21:27.434252,1
2026-03-06 21:21:27.477065,0
2026-03-06 21:21:27.536388,1
2026-03-06 21:21:27.579207,0
2026-03-06 21:21:27.638225,1
2026-03-06 21:21:27.681181,0
2026-03-06 21:21:27.739903,1
2026-03-06 21:21:27.783111,0
2026-03-06 21:21:27.842167,1
2026-03-06 21:21:27.885049,0
2026-03-06 21:21:27.944471,1
2026-03-06 21:21:27.987025,0
2026-03-06 21:21:28.046259,1
2026-03-06 21:21:28.089199,0
2026-03-06 21:21:28.148037,1
2026-03-06 21:21:28.190915,0
2026-03-06 21:21:28.250133,1
2026-03-06 21:21:28.293192,0
2026-03-06 21:21:28.35222,1
2026-03-06 21:21:28.395445,0
2026-03-06 21:21:28.454094,1
2026-03-06 21:21:28.497025,0
2026-03-06 21:21:28.556054,1
2026-03-06 21:21:28.599085,0
2026-03-06 21:21:28.658315,1
2026-03-06 21:21:28.701043,0
2026-03-06 21:21:28.760334,1
2026-03-06 21:21:28.802758,0
2026-03-06 21:21:28.862108,1
2026-03-06 21:21:28.905527,0
2026-03-06 21:21:28.964108,1
2026-03-06 21:21:29.007455,0
2026-03-06 21:21:29.066459,1
2026-03-06 21:21:29.109327,0
2026-03-06 21:21:29.168205,1
2026-03-06 21:21:29.211125,0
2026-03-06 21:21:29.270566,1
2026-03-06 21:21:29.313128,0
2026-03-06 21:21:29.372365,1
2026-03-06 21:21:29.415417,0
2026-03-06 21:21:29.474151,1
2026-03-06 21:21:29.517475,0
2026-03-06 21:21:29.576339,1
2026-03-06 21:21:29.619011,0
2026-03-06 21:21:29.678215,1
2026-03-06 21:21:29.720999,0
2026-03-06 21:21:29.779951,1
2026-03-06 21:21:29.823224,0
2026-03-06 21:21:29.882461,1
2026-03-06 21:21:29.925427,0
2026-03-06 21:21:29.98398,1
2026-03-06 21:21:30.027379,0
2026-03-06 21:21:30.086124,1
2026-03-06 21:21:30.129115,0
2026-03-06 21:21:30.188449,1
2026-03-06 21:21:30.231243,0
2026-03-06 21:21:30.290534,1
2026-03-06 21:21:30.332991,0
2026-03-06 21:21:30.392443,1
2026-03-06 21:21:30.435273,0
