time,ACT.GSE_High_Press_Control.timestamp_ns
2026-03-06 21:17:00.847707,1772831820847560768
2026-03-06 21:17:00.847728,1772831820847560768
2026-03-06 21:17:00.905506,1772831820905308335
2026-03-06 21:17:00.905538,1772831820905308335
2026-03-06 21:17:00.949687,1772831820949477461
2026-03-06 21:17:00.949711,1772831820949477461
2026-03-06 21:17:01.007662,1772831821007448992
2026-03-06 21:17:01.007686,1772831821007448992
2026-03-06 21:17:01.051666,1772831821051400328
2026-03-06 21:17:01.051697,1772831821051400328
2026-03-06 21:17:01.110419,1772831821109722878
2026-03-06 21:17:01.110447,1772831821109722878
2026-03-06 21:17:01.153536,1772831821153305514
2026-03-06 21:17:01.153562,1772831821153305514
2026-03-06 21:17:01.211344,1772831821211197053
2026-03-06 21:17:01.211374,1772831821211197053
2026-03-06 21:17:01.255737,1772831821255510702
2026-03-06 21:17:01.255763,1772831821255510702
2026-03-06 21:17:01.313347,1772831821313223106
2026-03-06 21:17:01.31336,1772831821313223106
2026-03-06 21:17:01.357451,1772831821357241716
2026-03-06 21:17:01.357484,1772831821357241716
2026-03-06 21:17:01.415296,1772831821415148845
2026-03-06 21:17:01.415315,1772831821415148845
2026-03-06 21:17:01.459492,1772831821459321108
2026-03-06 21:17:01.459504,1772831821459321108
2026-03-06 21:17:01.517237,1772831821517049578
2026-03-06 21:17:01.517264,1772831821517049578
2026-03-06 21:17:01.561332,1772831821561168025
2026-03-06 21:17:01.561352,1772831821561168025
2026-03-06 21:17:01.619622,1772831821619435883
2026-03-06 21:17:01.619645,1772831821619435883
2026-03-06 21:17:01.663583,1772831821663365473
2026-03-06 21:17:01.663617,1772831821663365473
2026-03-06 21:17:01.721285,1772831821721081120
2026-03-06 21:17:01.721311,1772831821721081120
2026-03-06 21:17:01.765535,1772831821765209661
2026-03-06 21:17:01.765569,1772831821765209661
2026-03-06 21:17:01.823503,1772831821823252932
2026-03-06 21:17:01.82352,1772831821823252932
2026-03-06 21:17:01.867917,1772831821867648936
2026-03-06 21:17:01.867955,1772831821867648936
2026-03-06 21:17:01.925843,1772831821925570232
2026-03-06 21:17:01.925869,1772831821925570232
2026-03-06 21:17:01.969858,1772831821969674929
2026-03-06 21:17:01.969881,1772831821969674929
2026-03-06 21:17:02.027715,1772831822027550816
2026-03-06 21:17:02.027734,1772831822027550816
2026-03-06 21:17:02.071918,1772831822071670333
2026-03-06 21:17:02.071946,1772831822071670333
2026-03-06 21:17:02.129438,1772831822129233344
