time,PT_Cal.GSE_High.cal_status
2026-03-06 21:15:31.150571,1
2026-03-06 21:15:31.150818,1
2026-03-06 21:15:31.151015,1
2026-03-06 21:15:31.15129,1
2026-03-06 21:15:31.254099,1
2026-03-06 21:15:31.25425,1
2026-03-06 21:15:31.25435,1
2026-03-06 21:15:31.254427,1
2026-03-06 21:15:31.254642,1
2026-03-06 21:15:31.257092,0
2026-03-06 21:15:31.353621,1
2026-03-06 21:15:31.353787,1
2026-03-06 21:15:31.354026,1
2026-03-06 21:15:31.354168,1
2026-03-06 21:15:31.354265,1
2026-03-06 21:15:31.454782,1
2026-03-06 21:15:31.455148,1
2026-03-06 21:15:31.45533,0
2026-03-06 21:15:31.455674,1
2026-03-06 21:15:31.456087,1
2026-03-06 21:15:31.456608,1
2026-03-06 21:15:31.456918,1
2026-03-06 21:15:31.553945,1
2026-03-06 21:15:31.554056,1
2026-03-06 21:15:31.554075,1
2026-03-06 21:15:31.554082,1
2026-03-06 21:15:31.554147,1
2026-03-06 21:15:31.554177,1
2026-03-06 21:15:31.554211,1
2026-03-06 21:15:31.554235,1
2026-03-06 21:15:31.655278,1
2026-03-06 21:15:31.655476,1
2026-03-06 21:15:31.655498,1
2026-03-06 21:15:31.65553,1
2026-03-06 21:15:31.655552,1
2026-03-06 21:15:31.65557,1
2026-03-06 21:15:31.65557,0
2026-03-06 21:15:31.655585,1
2026-03-06 21:15:31.655602,1
2026-03-06 21:15:31.655623,1
2026-03-06 21:15:31.754315,1
2026-03-06 21:15:31.754465,1
2026-03-06 21:15:31.754523,1
2026-03-06 21:15:31.754582,1
2026-03-06 21:15:31.75466,1
2026-03-06 21:15:31.754721,1
2026-03-06 21:15:31.754876,1
2026-03-06 21:15:31.755822,0
2026-03-06 21:15:31.854499,1
2026-03-06 21:15:31.854632,1
2026-03-06 21:15:31.854905,1
2026-03-06 21:15:31.855025,1
2026-03-06 21:15:31.855235,1
2026-03-06 21:15:31.85532,1
2026-03-06 21:15:31.855378,1
2026-03-06 21:15:31.856919,0
2026-03-06 21:15:31.955297,1
2026-03-06 21:15:31.9554,1
2026-03-06 21:15:31.955458,1
