time,PT_Cal.Fuel_Downstream.raw_adc
2026-03-06 21:18:57.811569,229666430
2026-03-06 21:18:57.811801,229772959
2026-03-06 21:18:57.812235,230229419
2026-03-06 21:18:57.920469,229732505
2026-03-06 21:18:57.920646,229202554
2026-03-06 21:18:57.920737,229630696
2026-03-06 21:18:57.920918,229574733
2026-03-06 21:18:57.920961,229732505
2026-03-06 21:18:57.921079,229676543
2026-03-06 21:18:57.921262,229604400
2026-03-06 21:18:57.921437,229640809
2026-03-06 21:18:58.029543,229816111
2026-03-06 21:18:58.029785,229816111
2026-03-06 21:18:58.029912,229787793
2026-03-06 21:18:58.030246,229600354
2026-03-06 21:18:58.030576,229605749
2026-03-06 21:18:58.030801,229742619
2026-03-06 21:18:58.031192,230173457
2026-03-06 21:18:58.138111,229727785
2026-03-06 21:18:58.138347,230186267
2026-03-06 21:18:58.13847,230112776
2026-03-06 21:18:58.138666,229539673
2026-03-06 21:18:58.138733,229727785
2026-03-06 21:18:58.13886,229753407
2026-03-06 21:18:58.246964,229644179
2026-03-06 21:18:58.247138,229662384
2026-03-06 21:18:58.247365,229722392
2026-03-06 21:18:58.247464,229644179
2026-03-06 21:18:58.247845,229601029
2026-03-06 21:18:58.248068,230023777
2026-03-06 21:18:58.248309,229652944
2026-03-06 21:18:58.355885,229696770
2026-03-06 21:18:58.356095,229561923
2026-03-06 21:18:58.356251,229716323
2026-03-06 21:18:58.356306,229696770
2026-03-06 21:18:58.356663,229680588
2026-03-06 21:18:58.465277,229690703
2026-03-06 21:18:58.465595,229797906
2026-03-06 21:18:58.465851,229797233
2026-03-06 21:18:58.466121,229714975
2026-03-06 21:18:58.466406,226749673
2026-03-06 21:18:58.466684,229839710
2026-03-06 21:18:58.466984,229714975
2026-03-06 21:18:58.467101,229690703
2026-03-06 21:18:58.467372,229705535
2026-03-06 21:18:58.467728,229007698
2026-03-06 21:18:58.574205,229654293
2026-03-06 21:18:58.574383,229734528
2026-03-06 21:18:58.574426,229613165
2026-03-06 21:18:58.574487,229575407
2026-03-06 21:18:58.574572,229681263
2026-03-06 21:18:58.574605,229654293
2026-03-06 21:18:58.57482,229618559
2026-03-06 21:18:58.682926,229512029
2026-03-06 21:18:58.683084,229733854
2026-03-06 21:18:58.683197,229127038
2026-03-06 21:18:58.683397,229619232
2026-03-06 21:18:58.68361,229519446
2026-03-06 21:18:58.684061,229512029
2026-03-06 21:18:58.791846,230178177
2026-03-06 21:18:58.791974,229868027
2026-03-06 21:18:58.791996,230064231
2026-03-06 21:18:58.792057,229555180
2026-03-06 21:18:58.79213,229627324
2026-03-06 21:18:58.79235,230178177
2026-03-06 21:18:58.901047,229629347
2026-03-06 21:18:58.901193,229572710
2026-03-06 21:18:58.901338,229807346
2026-03-06 21:18:58.901479,229502589
2026-03-06 21:18:58.901562,229629347
2026-03-06 21:18:58.901638,229667778
2026-03-06 21:18:58.901791,229781724
2026-03-06 21:18:59.01031,229479666
2026-03-06 21:18:59.01077,229679915
2026-03-06 21:18:59.01122,229479666
2026-03-06 21:18:59.011347,229563272
2026-03-06 21:18:59.011718,229700816
2026-03-06 21:18:59.012295,229168842
2026-03-06 21:18:59.013077,229752059
2026-03-06 21:18:59.013565,229548438
2026-03-06 21:18:59.014334,229625976
2026-03-06 21:18:59.119201,228902517
2026-03-06 21:18:59.119317,229251098
2026-03-06 21:18:59.119456,229712952
2026-03-06 21:18:59.119585,229628672
2026-03-06 21:18:59.11973,228902517
2026-03-06 21:18:59.22815,229106138
2026-03-06 21:18:59.228331,229617884
2026-03-06 21:18:59.228526,229636089
2026-03-06 21:18:59.228594,229106138
2026-03-06 21:18:59.228721,229057592
2026-03-06 21:18:59.337702,229822179
2026-03-06 21:18:59.338044,229654293
2026-03-06 21:18:59.338377,229082539
2026-03-06 21:18:59.338638,229822179
2026-03-06 21:18:59.338715,229842406
2026-03-06 21:18:59.33908,229633392
2026-03-06 21:18:59.446343,230111428
2026-03-06 21:18:59.446566,229635414
2026-03-06 21:18:59.446808,227359185
2026-03-06 21:18:59.446816,230111428
2026-03-06 21:18:59.447286,229603725
2026-03-06 21:18:59.555058,229864655
2026-03-06 21:18:59.555221,229729134
2026-03-06 21:18:59.555245,229864655
2026-03-06 21:18:59.55535,230315722
2026-03-06 21:18:59.664021,229450674
2026-03-06 21:18:59.664324,229517423
2026-03-06 21:18:59.664473,229450674
2026-03-06 21:18:59.664625,229555180
2026-03-06 21:18:59.773133,230273918
2026-03-06 21:18:59.773356,230298865
2026-03-06 21:18:59.773533,229810716
2026-03-06 21:18:59.773633,230273918
2026-03-06 21:18:59.773704,230346736
2026-03-06 21:18:59.881936,230232116
2026-03-06 21:18:59.882066,230722962
2026-03-06 21:18:59.882117,229661710
2026-03-06 21:18:59.882235,229708907
2026-03-06 21:18:59.882387,229534953
2026-03-06 21:18:59.882549,230232116
2026-03-06 21:18:59.991035,229050850
2026-03-06 21:18:59.991253,230093223
2026-03-06 21:18:59.99144,229894322
2026-03-06 21:18:59.9916,229631369
2026-03-06 21:18:59.991975,229050850
2026-03-06 21:19:00.100216,229134455
2026-03-06 21:19:00.100464,229648899
2026-03-06 21:19:00.100716,227355139
2026-03-06 21:19:00.10102,229685308
2026-03-06 21:19:00.101238,229134455
2026-03-06 21:19:00.101463,229407522
2026-03-06 21:19:00.208838,229527536
2026-03-06 21:19:00.208954,230159972
2026-03-06 21:19:00.208985,230246275
2026-03-06 21:19:00.209053,230083109
2026-03-06 21:19:00.209176,230222676
2026-03-06 21:19:00.209268,229640809
2026-03-06 21:19:00.209537,229527536
2026-03-06 21:19:00.318102,229745315
2026-03-06 21:19:00.318132,229745315
2026-03-06 21:19:00.318213,230445850
2026-03-06 21:19:00.318318,230248298
2026-03-06 21:19:00.318382,229601702
2026-03-06 21:19:00.318456,229593612
2026-03-06 21:19:00.427114,229801951
2026-03-06 21:19:00.427302,228389421
2026-03-06 21:19:00.427441,229574059
2026-03-06 21:19:00.427571,230282010
2026-03-06 21:19:00.427589,229801951
2026-03-06 21:19:00.536662,230389213
2026-03-06 21:19:00.537124,230174806
2026-03-06 21:19:00.537271,230389213
2026-03-06 21:19:00.537661,229756104
2026-03-06 21:19:00.537831,230315047
2026-03-06 21:19:00.538275,230164692
2026-03-06 21:19:00.53874,229570013
2026-03-06 21:19:00.644709,229612491
2026-03-06 21:19:00.644899,229612491
2026-03-06 21:19:00.645,229734528
2026-03-06 21:19:00.645129,229612491
2026-03-06 21:19:00.645258,229640134
2026-03-06 21:19:00.7538,229788467
2026-03-06 21:19:00.753917,229626649
2026-03-06 21:19:00.753993,229634066
2026-03-06 21:19:00.754067,229853868
2026-03-06 21:19:00.754142,229662384
2026-03-06 21:19:00.754168,229788467
2026-03-06 21:19:00.863114,229707558
2026-03-06 21:19:00.863407,229523491
2026-03-06 21:19:00.863633,229696770
2026-03-06 21:19:00.86389,229783073
2026-03-06 21:19:00.864366,229707558
2026-03-06 21:19:00.973142,229927361
2026-03-06 21:19:00.973558,230155253
2026-03-06 21:19:00.973793,230149185
2026-03-06 21:19:00.974193,229642831
2026-03-06 21:19:00.974409,229927361
2026-03-06 21:19:01.081367,229630021
2026-03-06 21:19:01.081472,227523024
2026-03-06 21:19:01.081558,230226048
2026-03-06 21:19:01.08163,230106033
2026-03-06 21:19:01.081938,229630021
2026-03-06 21:19:01.190564,229584172
2026-03-06 21:19:01.190872,230216609
2026-03-06 21:19:01.19097,229680588
2026-03-06 21:19:01.191195,229506636
2026-03-06 21:19:01.191354,229584172
2026-03-06 21:19:01.191592,229522143
2026-03-06 21:19:01.19192,229696770
2026-03-06 21:19:01.299001,229715649
2026-03-06 21:19:01.299238,229699468
2026-03-06 21:19:01.299576,230131655
2026-03-06 21:19:01.299589,229715649
2026-03-06 21:19:01.299735,230029844
2026-03-06 21:19:01.299882,229629347
2026-03-06 21:19:01.408064,228613944
2026-03-06 21:19:01.408213,228613944
2026-03-06 21:19:01.408275,229708233
2026-03-06 21:19:01.408473,229630021
2026-03-06 21:19:01.408667,229998830
2026-03-06 21:19:01.408876,229782399
2026-03-06 21:19:01.409118,229740596
2026-03-06 21:19:01.516691,229751384
2026-03-06 21:19:01.516944,229754081
2026-03-06 21:19:01.517226,229733854
2026-03-06 21:19:01.517387,229751384
2026-03-06 21:19:01.517927,229632718
2026-03-06 21:19:01.626169,229883535
2026-03-06 21:19:01.626371,229654293
2026-03-06 21:19:01.626424,229721717
2026-03-06 21:19:01.626503,229660361
2026-03-06 21:19:01.626674,229883535
2026-03-06 21:19:01.626749,229052199
2026-03-06 21:19:01.62699,229624627
2026-03-06 21:19:01.734629,229563272
2026-03-06 21:19:01.734812,229542370
2026-03-06 21:19:01.735027,230284032
2026-03-06 21:19:01.735058,229563272
2026-03-06 21:19:01.73524,229672498
2026-03-06 21:19:01.844181,230458660
2026-03-06 21:19:01.844389,229789816
2026-03-06 21:19:01.84461,229646877
2026-03-06 21:19:01.844672,230458660
2026-03-06 21:19:01.844817,229704187
