time,ACT.LOX_Fill.timestamp_ns
2026-03-06 21:35:17.5921,1772832917591708386
2026-03-06 21:35:17.618537,1772832917618262000
2026-03-06 21:35:17.618557,1772832917618262000
2026-03-06 21:35:17.693903,1772832917693592844
2026-03-06 21:35:17.693921,1772832917693592844
2026-03-06 21:35:17.720833,1772832917720492635
2026-03-06 21:35:17.720858,1772832917720492635
2026-03-06 21:35:17.795992,1772832917795595181
2026-03-06 21:35:17.796023,1772832917795595181
2026-03-06 21:35:17.822491,1772832917822122109
2026-03-06 21:35:17.822517,1772832917822122109
2026-03-06 21:35:17.898141,1772832917897772988
2026-03-06 21:35:17.898173,1772832917897772988
2026-03-06 21:35:17.92626,1772832917924435091
2026-03-06 21:35:17.926302,1772832917924435091
2026-03-06 21:35:18.000957,1772832917999689116
2026-03-06 21:35:18.00098,1772832917999689116
2026-03-06 21:35:18.026804,1772832918026344460
2026-03-06 21:35:18.026842,1772832918026344460
2026-03-06 21:35:18.101757,1772832918101330031
2026-03-06 21:35:18.101793,1772832918101330031
2026-03-06 21:35:18.128757,1772832918128232219
2026-03-06 21:35:18.128796,1772832918128232219
2026-03-06 21:35:18.203946,1772832918203666369
2026-03-06 21:35:18.203971,1772832918203666369
2026-03-06 21:35:18.230406,1772832918230100688
2026-03-06 21:35:18.230428,1772832918230100688
2026-03-06 21:35:18.305739,1772832918305470979
2026-03-06 21:35:18.305762,1772832918305470979
2026-03-06 21:35:18.332538,1772832918332200018
2026-03-06 21:35:18.332566,1772832918332200018
2026-03-06 21:35:18.407485,1772832918407201688
2026-03-06 21:35:18.407509,1772832918407201688
2026-03-06 21:35:18.434459,1772832918434151330
2026-03-06 21:35:18.434483,1772832918434151330
2026-03-06 21:35:18.509495,1772832918509242757
2026-03-06 21:35:18.50951,1772832918509242757
2026-03-06 21:35:18.536529,1772832918536270167
2026-03-06 21:35:18.536547,1772832918536270167
2026-03-06 21:35:18.61194,1772832918611618809
2026-03-06 21:35:18.611964,1772832918611618809
2026-03-06 21:35:18.638202,1772832918637957402
2026-03-06 21:35:18.638225,1772832918637957402
2026-03-06 21:35:18.714021,1772832918713444684
2026-03-06 21:35:18.714049,1772832918713444684
2026-03-06 21:35:18.74073,1772832918740442241
2026-03-06 21:35:18.740748,1772832918740442241
2026-03-06 21:35:18.816059,1772832918815523586
2026-03-06 21:35:18.816105,1772832918815523586
2026-03-06 21:35:18.842268,1772832918841984221
2026-03-06 21:35:18.842288,1772832918841984221
2026-03-06 21:35:18.917634,1772832918917267405
2026-03-06 21:35:18.917655,1772832918917267405
2026-03-06 21:35:18.944652,1772832918944430338
2026-03-06 21:35:18.94467,1772832918944430338
2026-03-06 21:35:19.020395,1772832919019901062
