time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:19:42.373314,11203814
2026-03-06 21:19:42.416709,11203896
2026-03-06 21:19:42.47487,11203916
2026-03-06 21:19:42.51861,11203998
2026-03-06 21:19:42.577333,11204018
2026-03-06 21:19:42.620593,11204100
2026-03-06 21:19:42.679136,11204120
2026-03-06 21:19:42.722334,11204202
2026-03-06 21:19:42.781486,11204222
2026-03-06 21:19:42.824908,11204304
2026-03-06 21:19:42.883623,11204324
2026-03-06 21:19:42.92635,11204406
2026-03-06 21:19:42.985334,11204426
2026-03-06 21:19:43.028693,11204508
2026-03-06 21:19:43.087527,11204528
2026-03-06 21:19:43.131022,11204610
2026-03-06 21:19:43.189165,11204630
2026-03-06 21:19:43.232421,11204712
2026-03-06 21:19:43.291189,11204732
2026-03-06 21:19:43.334579,11204814
2026-03-06 21:19:43.393014,11204834
2026-03-06 21:19:43.436491,11204916
2026-03-06 21:19:43.495188,11204936
2026-03-06 21:19:43.538635,11205018
2026-03-06 21:19:43.596912,11205038
2026-03-06 21:19:43.641058,11205120
2026-03-06 21:19:43.699337,11205140
2026-03-06 21:19:43.742626,11205222
2026-03-06 21:19:43.801628,11205242
2026-03-06 21:19:43.84467,11205324
2026-03-06 21:19:43.903099,11205344
2026-03-06 21:19:43.946661,11205426
2026-03-06 21:19:44.005534,11205446
2026-03-06 21:19:44.048545,11205528
2026-03-06 21:19:44.106923,11205548
2026-03-06 21:19:44.150503,11205630
2026-03-06 21:19:44.209472,11205650
2026-03-06 21:19:44.252858,11205732
2026-03-06 21:19:44.310929,11205752
2026-03-06 21:19:44.354417,11205834
2026-03-06 21:19:44.413409,11205854
2026-03-06 21:19:44.456443,11205936
2026-03-06 21:19:44.515234,11205956
2026-03-06 21:19:44.558308,11206038
2026-03-06 21:19:44.617207,11206058
2026-03-06 21:19:44.660514,11206140
2026-03-06 21:19:44.719095,11206160
2026-03-06 21:19:44.762639,11206242
2026-03-06 21:19:44.821453,11206262
2026-03-06 21:19:44.864534,11206344
2026-03-06 21:19:44.923244,11206364
2026-03-06 21:19:44.966815,11206446
2026-03-06 21:19:45.025355,11206466
2026-03-06 21:19:45.068633,11206548
2026-03-06 21:19:45.12746,11206568
2026-03-06 21:19:45.170729,11206650
2026-03-06 21:19:45.229432,11206670
2026-03-06 21:19:45.273013,11206752
2026-03-06 21:19:45.331149,11206772
2026-03-06 21:19:45.374648,11206854
2026-03-06 21:19:45.433524,11206874
2026-03-06 21:19:45.476541,11206956
2026-03-06 21:19:45.535484,11206976
2026-03-06 21:19:45.578768,11207058
2026-03-06 21:19:45.637103,11207078
2026-03-06 21:19:45.68065,11207160
2026-03-06 21:19:45.739423,11207180
2026-03-06 21:19:45.782595,11207262
2026-03-06 21:19:45.841227,11207282
2026-03-06 21:19:45.884834,11207364
2026-03-06 21:19:45.943569,11207384
2026-03-06 21:19:45.986346,11207466
2026-03-06 21:19:46.045597,11207486
2026-03-06 21:19:46.088386,11207568
2026-03-06 21:19:46.147442,11207588
2026-03-06 21:19:46.19086,11207670
2026-03-06 21:19:46.249547,11207690
2026-03-06 21:19:46.292331,11207772
2026-03-06 21:19:46.351407,11207792
2026-03-06 21:19:46.394628,11207874
2026-03-06 21:19:46.453359,11207894
2026-03-06 21:19:46.496452,11207976
2026-03-06 21:19:46.555407,11207996
2026-03-06 21:19:46.598657,11208078
2026-03-06 21:19:46.657071,11208098
2026-03-06 21:19:46.70065,11208180
2026-03-06 21:19:46.75929,11208200
2026-03-06 21:19:46.802798,11208282
2026-03-06 21:19:46.861578,11208302
2026-03-06 21:19:46.904622,11208384
2026-03-06 21:19:46.963212,11208404
2026-03-06 21:19:47.006415,11208486
2026-03-06 21:19:47.065511,11208506
2026-03-06 21:19:47.108604,11208588
2026-03-06 21:19:47.167342,11208608
2026-03-06 21:19:47.210492,11208690
2026-03-06 21:19:47.269474,11208710
2026-03-06 21:19:47.312692,11208792
2026-03-06 21:19:47.371427,11208812
2026-03-06 21:19:47.414819,11208894
2026-03-06 21:19:47.472988,11208914
2026-03-06 21:19:47.516281,11208996
2026-03-06 21:19:47.575411,11209016
2026-03-06 21:19:47.618727,11209098
2026-03-06 21:19:47.67734,11209118
2026-03-06 21:19:47.720799,11209200
2026-03-06 21:19:47.779203,11209220
2026-03-06 21:19:47.822446,11209302
2026-03-06 21:19:47.881469,11209322
2026-03-06 21:19:47.924612,11209404
2026-03-06 21:19:47.983321,11209424
2026-03-06 21:19:48.026526,11209506
2026-03-06 21:19:48.085037,11209526
2026-03-06 21:19:48.128959,11209608
2026-03-06 21:19:48.187145,11209628
2026-03-06 21:19:48.230386,11209710
2026-03-06 21:19:48.289031,11209730
2026-03-06 21:19:48.332941,11209812
2026-03-06 21:19:48.391186,11209832
2026-03-06 21:19:48.435001,11209914
