time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:26:15.450779,220532518
2026-03-06 21:26:15.450824,220508920
2026-03-06 21:26:15.450894,220461723
2026-03-06 21:26:15.450984,220548700
2026-03-06 21:26:15.451057,220364633
2026-03-06 21:26:15.559588,219973575
2026-03-06 21:26:15.559649,220374072
2026-03-06 21:26:15.559699,220638373
2026-03-06 21:26:15.559766,220361936
2026-03-06 21:26:15.559817,219973575
2026-03-06 21:26:15.559836,220532518
2026-03-06 21:26:15.559909,220519708
2026-03-06 21:26:15.668535,220574321
2026-03-06 21:26:15.668597,220574321
2026-03-06 21:26:15.668643,220574321
2026-03-06 21:26:15.668668,220518360
2026-03-06 21:26:15.668733,220397670
2026-03-06 21:26:15.668798,220561511
2026-03-06 21:26:15.668868,220461049
2026-03-06 21:26:15.668935,220133369
2026-03-06 21:26:15.668999,218499689
2026-03-06 21:26:15.777482,220612078
2026-03-06 21:26:15.777573,220372723
2026-03-06 21:26:15.777596,220620169
2026-03-06 21:26:15.77764,220413852
2026-03-06 21:26:15.778123,220612078
2026-03-06 21:26:15.886483,220479928
2026-03-06 21:26:15.886589,220661972
2026-03-06 21:26:15.886771,220531170
2026-03-06 21:26:15.886882,220479928
2026-03-06 21:26:15.886958,220507572
2026-03-06 21:26:15.995795,220920880
2026-03-06 21:26:15.995907,220514313
2026-03-06 21:26:15.996014,220920880
2026-03-06 21:26:15.996014,218287304
2026-03-06 21:26:16.10495,220570276
2026-03-06 21:26:16.105017,220572299
2026-03-06 21:26:16.105044,220514313
2026-03-06 21:26:16.105105,220687594
2026-03-06 21:26:16.105197,220625563
2026-03-06 21:26:16.10527,220682199
2026-03-06 21:26:16.105302,220570276
2026-03-06 21:26:16.213671,220517011
2026-03-06 21:26:16.213738,220517011
2026-03-06 21:26:16.213879,219941211
2026-03-06 21:26:16.214049,220511617
2026-03-06 21:26:16.214216,220300581
2026-03-06 21:26:16.214338,220517011
2026-03-06 21:26:16.214356,220399694
2026-03-06 21:26:16.214592,220447564
2026-03-06 21:26:16.323287,220409807
2026-03-06 21:26:16.323352,220648488
2026-03-06 21:26:16.323426,220465094
2026-03-06 21:26:16.323511,220542632
2026-03-06 21:26:16.323651,220256755
2026-03-06 21:26:16.323822,220777941
2026-03-06 21:26:16.323922,220409807
2026-03-06 21:26:16.323982,218289327
2026-03-06 21:26:16.324135,220368005
2026-03-06 21:26:16.324386,220925600
2026-03-06 21:26:16.431435,220623541
2026-03-06 21:26:16.431479,220490716
2026-03-06 21:26:16.431532,220408459
2026-03-06 21:26:16.431592,220411155
2026-03-06 21:26:16.431699,221170348
2026-03-06 21:26:16.431816,220376095
2026-03-06 21:26:16.432326,220623541
2026-03-06 21:26:16.540923,220459026
2026-03-06 21:26:16.541011,220438126
2026-03-06 21:26:16.541035,220492065
2026-03-06 21:26:16.541071,220586457
2026-03-06 21:26:16.541096,221080000
2026-03-06 21:26:16.54113,220615450
2026-03-06 21:26:16.541144,220630283
2026-03-06 21:26:16.54152,220459026
2026-03-06 21:26:16.649275,220403739
2026-03-06 21:26:16.649447,220608033
2026-03-06 21:26:16.649492,220403739
2026-03-06 21:26:16.649615,220643093
2026-03-06 21:26:16.758861,220450261
2026-03-06 21:26:16.758966,220632980
2026-03-06 21:26:16.759017,220604662
2026-03-06 21:26:16.759085,220492065
2026-03-06 21:26:16.759123,220341035
2026-03-06 21:26:16.75928,220450261
2026-03-06 21:26:16.867664,220457004
2026-03-06 21:26:16.867702,220595897
2026-03-06 21:26:16.867768,220614101
2026-03-06 21:26:16.867854,220962008
2026-03-06 21:26:16.867936,220374747
2026-03-06 21:26:16.868056,220645116
2026-03-06 21:26:16.868109,220457004
2026-03-06 21:26:16.976728,220471163
2026-03-06 21:26:16.976784,220603313
2026-03-06 21:26:16.97685,220622866
2026-03-06 21:26:16.976921,220447564
2026-03-06 21:26:16.977052,220471163
2026-03-06 21:26:16.977188,220416549
2026-03-06 21:26:16.977298,220311368
2026-03-06 21:26:17.086034,219914241
2026-03-06 21:26:17.086083,220510943
2026-03-06 21:26:17.086109,220554094
2026-03-06 21:26:17.086445,220107074
2026-03-06 21:26:17.086501,219914241
2026-03-06 21:26:17.086524,220535890
2026-03-06 21:26:17.194427,221056401
2026-03-06 21:26:17.19449,220316762
2026-03-06 21:26:17.194526,220497458
2026-03-06 21:26:17.194752,220525777
2026-03-06 21:26:17.194824,220454981
2026-03-06 21:26:17.194859,221056401
2026-03-06 21:26:17.194896,220105052
2026-03-06 21:26:17.303791,220589829
2026-03-06 21:26:17.303927,220487345
2026-03-06 21:26:17.304077,221185856
2026-03-06 21:26:17.304291,220698381
2026-03-06 21:26:17.30444,220585109
2026-03-06 21:26:17.304617,220589829
2026-03-06 21:26:17.304638,220430034
2026-03-06 21:26:17.304827,220322830
2026-03-06 21:26:17.305017,220558139
2026-03-06 21:26:17.3053,220196748
2026-03-06 21:26:17.41268,221065841
2026-03-06 21:26:17.412827,220418572
2026-03-06 21:26:17.412984,220510943
2026-03-06 21:26:17.413143,221146749
2026-03-06 21:26:17.41333,220554094
2026-03-06 21:26:17.413395,221065841
2026-03-06 21:26:17.413492,220546004
2026-03-06 21:26:17.413661,220909418
2026-03-06 21:26:17.413818,220993024
2026-03-06 21:26:17.522342,220377443
2026-03-06 21:26:17.522426,220411155
2026-03-06 21:26:17.522582,220502852
2026-03-06 21:26:17.522754,220377443
2026-03-06 21:26:17.522775,220448239
2026-03-06 21:26:17.522947,220256755
2026-03-06 21:26:17.523143,220430709
2026-03-06 21:26:17.523351,220326876
2026-03-06 21:26:17.523451,220638373
2026-03-06 21:26:17.523665,221181810
2026-03-06 21:26:17.630909,220450936
2026-03-06 21:26:17.630978,220382837
2026-03-06 21:26:17.631059,220459026
2026-03-06 21:26:17.631155,218673642
2026-03-06 21:26:17.631241,220521730
2026-03-06 21:26:17.631268,220450936
2026-03-06 21:26:17.631324,220372723
2026-03-06 21:26:17.739809,220459701
2026-03-06 21:26:17.739874,220608708
2026-03-06 21:26:17.739907,221185856
2026-03-06 21:26:17.739984,221183833
2026-03-06 21:26:17.74008,221032129
2026-03-06 21:26:17.740135,221102924
2026-03-06 21:26:17.740184,220459701
2026-03-06 21:26:17.740234,220593874
2026-03-06 21:26:17.740287,220519033
2026-03-06 21:26:17.848822,220105052
2026-03-06 21:26:17.848894,220587132
2026-03-06 21:26:17.848934,220483299
2026-03-06 21:26:17.849,220426662
2026-03-06 21:26:17.849058,220587806
2026-03-06 21:26:17.849252,220380140
2026-03-06 21:26:17.849338,220105052
