time,BOARD.HB_12.board_state
2026-03-06 21:18:16.601248,2
2026-03-06 21:18:17.610754,2
2026-03-06 21:18:18.619374,2
2026-03-06 21:18:19.619132,2
2026-03-06 21:18:20.619243,2
2026-03-06 21:18:21.619601,2
2026-03-06 21:18:22.619397,2
2026-03-06 21:18:23.629222,2
2026-03-06 21:18:24.637703,2
2026-03-06 21:18:25.637137,2
2026-03-06 21:18:26.637434,2
2026-03-06 21:18:27.637474,2
2026-03-06 21:18:28.637741,2
2026-03-06 21:18:29.647086,2
2026-03-06 21:18:30.655401,2
2026-03-06 21:18:31.655639,2
2026-03-06 21:18:32.655768,2
2026-03-06 21:18:33.655276,2
2026-03-06 21:18:34.655722,2
2026-03-06 21:18:35.6653,2
2026-03-06 21:18:36.673256,2
2026-03-06 21:18:37.673303,2
2026-03-06 21:18:38.673614,2
2026-03-06 21:18:39.673814,2
2026-03-06 21:18:40.673272,2
2026-03-06 21:18:41.683032,2
2026-03-06 21:18:42.691348,2
2026-03-06 21:18:43.691641,2
2026-03-06 21:18:44.691524,2
2026-03-06 21:18:45.691732,2
2026-03-06 21:18:46.691446,2
2026-03-06 21:18:47.701494,2
2026-03-06 21:18:48.709588,2
2026-03-06 21:18:49.709942,2
2026-03-06 21:18:50.709771,2
2026-03-06 21:18:51.709819,2
2026-03-06 21:18:52.70983,2
2026-03-06 21:18:53.71951,2
2026-03-06 21:18:54.727546,2
2026-03-06 21:18:55.727858,2
2026-03-06 21:18:56.727475,2
2026-03-06 21:18:57.727847,2
2026-03-06 21:18:58.727841,2
2026-03-06 21:18:59.737135,2
2026-03-06 21:19:00.745478,2
2026-03-06 21:19:01.745795,2
2026-03-06 21:19:02.74603,2
2026-03-06 21:19:03.745905,2
2026-03-06 21:19:04.745694,2
2026-03-06 21:19:05.755364,2
2026-03-06 21:19:06.763883,2
2026-03-06 21:19:07.763793,2
2026-03-06 21:19:08.763725,2
2026-03-06 21:19:09.763806,2
2026-03-06 21:19:10.764001,2
2026-03-06 21:19:11.773484,2
2026-03-06 21:19:12.78192,2
2026-03-06 21:19:13.7816,2
2026-03-06 21:19:14.782062,2
2026-03-06 21:19:15.781734,2
2026-03-06 21:19:16.782088,2
2026-03-06 21:19:17.791454,2
2026-03-06 21:19:18.799824,2
2026-03-06 21:19:19.800282,2
2026-03-06 21:19:20.799878,2
2026-03-06 21:19:21.799883,2
2026-03-06 21:19:22.799907,2
2026-03-06 21:19:23.809881,2
2026-03-06 21:19:24.818094,2
2026-03-06 21:19:25.817995,2
2026-03-06 21:19:26.818056,2
2026-03-06 21:19:27.817902,2
2026-03-06 21:19:28.818195,2
2026-03-06 21:19:29.827625,2
2026-03-06 21:19:30.836112,2
2026-03-06 21:19:31.835789,2
2026-03-06 21:19:32.835857,2
2026-03-06 21:19:33.836179,2
2026-03-06 21:19:34.836291,2
2026-03-06 21:19:35.845659,2
2026-03-06 21:19:36.853929,2
2026-03-06 21:19:37.854092,2
2026-03-06 21:19:38.853783,2
2026-03-06 21:19:39.854435,2
2026-03-06 21:19:40.854216,2
2026-03-06 21:19:41.86348,2
2026-03-06 21:19:42.872424,2
2026-03-06 21:19:43.872114,2
2026-03-06 21:19:44.872451,2
2026-03-06 21:19:45.872053,2
2026-03-06 21:19:46.872024,2
2026-03-06 21:19:47.881567,2
2026-03-06 21:19:48.890127,2
2026-03-06 21:19:49.890396,2
2026-03-06 21:19:50.890196,2
2026-03-06 21:19:51.890187,2
2026-03-06 21:19:52.890153,2
2026-03-06 21:19:53.900055,2
2026-03-06 21:19:54.908546,2
2026-03-06 21:19:55.90866,2
2026-03-06 21:19:56.908301,2
2026-03-06 21:19:57.908076,2
2026-03-06 21:19:58.908289,2
2026-03-06 21:19:59.917801,2
2026-03-06 21:20:00.92646,2
2026-03-06 21:20:01.926195,2
2026-03-06 21:20:02.926216,2
2026-03-06 21:20:03.926303,2
2026-03-06 21:20:04.926578,2
2026-03-06 21:20:05.935772,2
2026-03-06 21:20:06.944302,2
2026-03-06 21:20:07.944692,2
2026-03-06 21:20:08.944215,2
2026-03-06 21:20:09.944301,2
2026-03-06 21:20:10.944397,2
2026-03-06 21:20:11.953958,2
2026-03-06 21:20:12.962233,2
2026-03-06 21:20:13.962391,2
2026-03-06 21:20:14.962333,2
2026-03-06 21:20:15.962645,2
2026-03-06 21:20:16.962459,2
2026-03-06 21:20:17.972109,2
2026-03-06 21:20:18.980263,2
2026-03-06 21:20:19.980371,2
2026-03-06 21:20:20.980377,2
2026-03-06 21:20:21.980412,2
2026-03-06 21:20:22.980648,2
2026-03-06 21:20:23.990296,2
2026-03-06 21:20:24.998666,2
2026-03-06 21:20:25.998595,2
2026-03-06 21:20:26.998364,2
2026-03-06 21:20:27.998905,2
2026-03-06 21:20:28.998444,2
2026-03-06 21:20:30.008388,2
2026-03-06 21:20:31.016301,2
2026-03-06 21:20:32.016953,2
2026-03-06 21:20:33.016484,2
2026-03-06 21:20:34.016802,2
2026-03-06 21:20:35.016757,2
2026-03-06 21:20:36.026091,2
2026-03-06 21:20:37.034518,2
2026-03-06 21:20:38.034455,2
2026-03-06 21:20:39.034365,2
2026-03-06 21:20:40.034533,2
2026-03-06 21:20:41.035005,2
2026-03-06 21:20:42.044461,2
2026-03-06 21:20:43.052988,2
2026-03-06 21:20:44.052833,2
2026-03-06 21:20:45.052863,2
2026-03-06 21:20:46.052899,2
2026-03-06 21:20:47.052634,2
2026-03-06 21:20:48.062487,2
2026-03-06 21:20:49.070884,2
2026-03-06 21:20:50.0711,2
2026-03-06 21:20:51.070776,2
2026-03-06 21:20:52.071089,2
2026-03-06 21:20:53.070581,2
2026-03-06 21:20:54.080386,2
2026-03-06 21:20:55.088727,2
2026-03-06 21:20:56.089228,2
2026-03-06 21:20:57.089069,2
2026-03-06 21:20:58.088752,2
2026-03-06 21:20:59.088734,2
2026-03-06 21:21:00.098616,2
2026-03-06 21:21:01.106553,2
2026-03-06 21:21:02.107132,2
2026-03-06 21:21:03.107001,2
2026-03-06 21:21:04.107526,2
