time,PT_Cal.GN2_High.channel_id
2026-03-06 21:14:22.618826,14
2026-03-06 21:14:22.618865,14
2026-03-06 21:14:22.618913,14
2026-03-06 21:14:22.618979,14
2026-03-06 21:14:22.619085,14
2026-03-06 21:14:22.619132,14
2026-03-06 21:14:22.619176,14
2026-03-06 21:14:22.619256,14
2026-03-06 21:14:22.719002,14
2026-03-06 21:14:22.719026,14
2026-03-06 21:14:22.719034,14
2026-03-06 21:14:22.719072,14
2026-03-06 21:14:22.719104,14
2026-03-06 21:14:22.719136,14
2026-03-06 21:14:22.719186,14
2026-03-06 21:14:22.719244,14
2026-03-06 21:14:22.719941,14
2026-03-06 21:14:22.818427,14
2026-03-06 21:14:22.818457,14
2026-03-06 21:14:22.818487,14
2026-03-06 21:14:22.818522,14
2026-03-06 21:14:22.81856,14
2026-03-06 21:14:22.818616,14
2026-03-06 21:14:22.818687,14
2026-03-06 21:14:22.922864,14
2026-03-06 21:14:22.922879,14
2026-03-06 21:14:22.922885,14
2026-03-06 21:14:22.922895,14
2026-03-06 21:14:22.922906,14
2026-03-06 21:14:22.922911,14
2026-03-06 21:14:22.922924,14
2026-03-06 21:14:22.922936,14
2026-03-06 21:14:22.922959,14
2026-03-06 21:14:22.923217,14
2026-03-06 21:14:23.022242,14
2026-03-06 21:14:23.022267,14
2026-03-06 21:14:23.022288,14
2026-03-06 21:14:23.02231,14
2026-03-06 21:14:23.022332,14
2026-03-06 21:14:23.02235,14
2026-03-06 21:14:23.02237,14
2026-03-06 21:14:23.122761,14
2026-03-06 21:14:23.122773,14
2026-03-06 21:14:23.122786,14
2026-03-06 21:14:23.122861,14
2026-03-06 21:14:23.122875,14
2026-03-06 21:14:23.122884,14
2026-03-06 21:14:23.122901,14
2026-03-06 21:14:23.122909,14
2026-03-06 21:14:23.122936,14
2026-03-06 21:14:23.1234,14
2026-03-06 21:14:23.222539,14
2026-03-06 21:14:23.22257,14
2026-03-06 21:14:23.222577,14
2026-03-06 21:14:23.222592,14
2026-03-06 21:14:23.222636,14
2026-03-06 21:14:23.222694,14
2026-03-06 21:14:23.222768,14
2026-03-06 21:14:23.322589,14
2026-03-06 21:14:23.322614,14
2026-03-06 21:14:23.322623,14
2026-03-06 21:14:23.322637,14
2026-03-06 21:14:23.322659,14
2026-03-06 21:14:23.322684,14
2026-03-06 21:14:23.322711,14
2026-03-06 21:14:23.322747,14
2026-03-06 21:14:23.322987,14
2026-03-06 21:14:23.422803,14
2026-03-06 21:14:23.422856,14
2026-03-06 21:14:23.422941,14
2026-03-06 21:14:23.423068,14
2026-03-06 21:14:23.423315,14
2026-03-06 21:14:23.423345,14
2026-03-06 21:14:23.423381,14
2026-03-06 21:14:23.423499,14
2026-03-06 21:14:23.423635,14
2026-03-06 21:14:23.522563,14
2026-03-06 21:14:23.522611,14
2026-03-06 21:14:23.522649,14
2026-03-06 21:14:23.522704,14
2026-03-06 21:14:23.522754,14
2026-03-06 21:14:23.623613,14
2026-03-06 21:14:23.623663,14
2026-03-06 21:14:23.623814,14
2026-03-06 21:14:23.623865,14
2026-03-06 21:14:23.623931,14
2026-03-06 21:14:23.624011,14
2026-03-06 21:14:23.624026,14
2026-03-06 21:14:23.624123,14
2026-03-06 21:14:23.624256,14
2026-03-06 21:14:23.723897,14
2026-03-06 21:14:23.723939,14
2026-03-06 21:14:23.72399,14
2026-03-06 21:14:23.724049,14
2026-03-06 21:14:23.724116,14
2026-03-06 21:14:23.724267,14
2026-03-06 21:14:23.72452,14
2026-03-06 21:14:23.72472,14
2026-03-06 21:14:23.724828,14
2026-03-06 21:14:23.823823,14
2026-03-06 21:14:23.823921,14
2026-03-06 21:14:23.824037,14
2026-03-06 21:14:23.824148,14
2026-03-06 21:14:23.824709,14
2026-03-06 21:14:23.927939,14
2026-03-06 21:14:23.928008,14
2026-03-06 21:14:23.928142,14
2026-03-06 21:14:23.928268,14
2026-03-06 21:14:23.928378,14
2026-03-06 21:14:23.928593,14
2026-03-06 21:14:23.928615,14
2026-03-06 21:14:24.028315,14
2026-03-06 21:14:24.028417,14
2026-03-06 21:14:24.028511,14
2026-03-06 21:14:24.028714,14
2026-03-06 21:14:24.028731,14
2026-03-06 21:14:24.028895,14
2026-03-06 21:14:24.029053,14
2026-03-06 21:14:24.029238,14
2026-03-06 21:14:24.02952,14
2026-03-06 21:14:24.128362,14
2026-03-06 21:14:24.128417,14
2026-03-06 21:14:24.128459,14
2026-03-06 21:14:24.128504,14
2026-03-06 21:14:24.128558,14
2026-03-06 21:14:24.128624,14
2026-03-06 21:14:24.128737,14
2026-03-06 21:14:24.227862,14
2026-03-06 21:14:24.227897,14
2026-03-06 21:14:24.22795,14
2026-03-06 21:14:24.228001,14
2026-03-06 21:14:24.228059,14
2026-03-06 21:14:24.228109,14
2026-03-06 21:14:24.228165,14
2026-03-06 21:14:24.228741,14
2026-03-06 21:14:24.327654,14
2026-03-06 21:14:24.327715,14
2026-03-06 21:14:24.327771,14
2026-03-06 21:14:24.327864,14
2026-03-06 21:14:24.327929,14
2026-03-06 21:14:24.328058,14
2026-03-06 21:14:24.427735,14
2026-03-06 21:14:24.427752,14
2026-03-06 21:14:24.42776,14
2026-03-06 21:14:24.427793,14
2026-03-06 21:14:24.427848,14
2026-03-06 21:14:24.42791,14
2026-03-06 21:14:24.428025,14
2026-03-06 21:14:24.428182,14
2026-03-06 21:14:24.428311,14
2026-03-06 21:14:24.527825,14
2026-03-06 21:14:24.527897,14
2026-03-06 21:14:24.528079,14
2026-03-06 21:14:24.528337,14
2026-03-06 21:14:24.52843,14
2026-03-06 21:14:24.528607,14
2026-03-06 21:14:24.528635,14
2026-03-06 21:14:24.528774,14
2026-03-06 21:14:24.528925,14
2026-03-06 21:14:24.529084,14
2026-03-06 21:14:24.628648,14
2026-03-06 21:14:24.628682,14
2026-03-06 21:14:24.628706,14
2026-03-06 21:14:24.628788,14
2026-03-06 21:14:24.628952,14
2026-03-06 21:14:24.629091,14
2026-03-06 21:14:24.629217,14
2026-03-06 21:14:24.62926,14
