time,PT_Cal.GSE_Low.pressure_psi
2026-03-06 21:23:47.754722,0.45137903
2026-03-06 21:23:47.754796,125.261
2026-03-06 21:23:47.754886,125.33267
2026-03-06 21:23:47.754997,125.35
2026-03-06 21:23:47.755107,125.34291
2026-03-06 21:23:47.75526,125.398834
2026-03-06 21:23:47.755337,125.39292
2026-03-06 21:23:47.863297,125.25864
2026-03-06 21:23:47.863415,125.25903
2026-03-06 21:23:47.863441,125.31101
2026-03-06 21:23:47.863483,125.392136
2026-03-06 21:23:47.863487,0.45125228
2026-03-06 21:23:47.863557,125.31416
2026-03-06 21:23:47.863635,125.30747
2026-03-06 21:23:47.863704,125.26927
2026-03-06 21:23:47.863777,125.3185
2026-03-06 21:23:47.971822,125.293686
2026-03-06 21:23:47.9719,125.363785
2026-03-06 21:23:47.971966,125.347244
2026-03-06 21:23:47.972053,125.2866
2026-03-06 21:23:47.972134,0.45131227
2026-03-06 21:23:47.972144,125.420494
2026-03-06 21:23:47.97229,125.29408
2026-03-06 21:23:48.081166,125.071594
2026-03-06 21:23:48.081317,125.28305
2026-03-06 21:23:48.081482,124.98103
2026-03-06 21:23:48.081655,124.862915
2026-03-06 21:23:48.081709,0.45093203
2026-03-06 21:23:48.081871,125.278725
2026-03-06 21:23:48.190376,125.40395
2026-03-06 21:23:48.190464,125.2291
2026-03-06 21:23:48.190505,125.37599
2026-03-06 21:23:48.190719,0.45150107
2026-03-06 21:23:48.190719,125.059
2026-03-06 21:23:48.190817,125.392136
2026-03-06 21:23:48.1911,125.293686
2026-03-06 21:23:48.19145,125.25825
2026-03-06 21:23:48.191498,124.96607
2026-03-06 21:23:48.299501,125.191696
2026-03-06 21:23:48.299828,124.97828
2026-03-06 21:23:48.299867,0.45113766
2026-03-06 21:23:48.300093,125.2992
2026-03-06 21:23:48.300334,125.31456
2026-03-06 21:23:48.300563,125.2039
2026-03-06 21:23:48.300764,125.315346
2026-03-06 21:23:48.301003,125.31023
2026-03-06 21:23:48.408485,125.30983
2026-03-06 21:23:48.408571,125.21139
2026-03-06 21:23:48.408615,0.45133993
2026-03-06 21:23:48.40866,125.632774
2026-03-06 21:23:48.408813,125.34843
2026-03-06 21:23:48.408999,125.33976
2026-03-06 21:23:48.517042,125.33307
2026-03-06 21:23:48.51713,125.28069
2026-03-06 21:23:48.517184,125.62726
2026-03-06 21:23:48.517228,125.30668
2026-03-06 21:23:48.517274,0.45137972
2026-03-06 21:23:48.626021,124.92591
2026-03-06 21:23:48.626126,125.286995
2026-03-06 21:23:48.626202,125.24328
2026-03-06 21:23:48.626379,0.45068255
2026-03-06 21:23:48.735364,125.281876
2026-03-06 21:23:48.735451,125.2551
2026-03-06 21:23:48.735494,125.372055
2026-03-06 21:23:48.735762,0.45129207
2026-03-06 21:23:48.736082,125.32519
2026-03-06 21:23:48.736141,125.30156
2026-03-06 21:23:48.736195,125.60717
2026-03-06 21:23:48.843854,125.28581
2026-03-06 21:23:48.844153,125.215324
2026-03-06 21:23:48.844185,0.4512988
2026-03-06 21:23:48.844273,125.29802
2026-03-06 21:23:48.95338,125.31653
2026-03-06 21:23:48.953457,125.262184
2026-03-06 21:23:48.953486,125.29447
2026-03-06 21:23:48.953559,125.32125
2026-03-06 21:23:48.953629,125.353935
2026-03-06 21:23:48.953691,0.45135137
2026-03-06 21:23:49.062322,125.30747
2026-03-06 21:23:49.062395,125.24486
2026-03-06 21:23:49.062443,125.34094
2026-03-06 21:23:49.062516,125.24643
2026-03-06 21:23:49.062667,0.45133588
2026-03-06 21:23:49.171542,125.27242
2026-03-06 21:23:49.171775,125.23068
2026-03-06 21:23:49.172002,125.261
2026-03-06 21:23:49.172373,125.32598
2026-03-06 21:23:49.172409,0.4512759
2026-03-06 21:23:49.172799,125.29408
2026-03-06 21:23:49.279883,125.215324
2026-03-06 21:23:49.279936,0.4511781
2026-03-06 21:23:49.279967,125.34173
2026-03-06 21:23:49.280017,125.295654
2026-03-06 21:23:49.280079,125.27006
2026-03-06 21:23:49.388998,124.98537
2026-03-06 21:23:49.389088,125.32165
2026-03-06 21:23:49.389143,125.24446
2026-03-06 21:23:49.389229,125.57763
2026-03-06 21:23:49.389308,125.228714
2026-03-06 21:23:49.389457,0.45078436
2026-03-06 21:23:49.498136,125.23147
2026-03-06 21:23:49.498215,125.312195
2026-03-06 21:23:49.498264,124.93969
2026-03-06 21:23:49.498317,0.45120576
2026-03-06 21:23:49.498348,125.29959
2026-03-06 21:23:49.498618,125.359055
2026-03-06 21:23:49.498689,125.31338
2026-03-06 21:23:49.499553,125.29408
2026-03-06 21:23:49.499608,125.398834
2026-03-06 21:23:49.607493,125.218475
2026-03-06 21:23:49.607562,125.14602
2026-03-06 21:23:49.607637,125.40317
2026-03-06 21:23:49.60778,0.4511835
2026-03-06 21:23:49.607871,125.32834
2026-03-06 21:23:49.608083,125.292114
2026-03-06 21:23:49.60817,124.835754
2026-03-06 21:23:49.608258,125.31141
2026-03-06 21:23:49.608404,125.27518
2026-03-06 21:23:49.715869,125.1976
2026-03-06 21:23:49.715955,125.20154
2026-03-06 21:23:49.715985,125.36772
2026-03-06 21:23:49.716029,0.45114776
2026-03-06 21:23:49.716052,125.247215
2026-03-06 21:23:49.716125,125.19209
2026-03-06 21:23:49.716217,125.35276
2026-03-06 21:23:49.825203,125.23737
2026-03-06 21:23:49.825299,125.60402
2026-03-06 21:23:49.825333,125.89943
2026-03-06 21:23:49.825385,125.38229
2026-03-06 21:23:49.825451,125.20824
2026-03-06 21:23:49.825518,124.97001
2026-03-06 21:23:49.82561,125.01726
2026-03-06 21:23:49.82575,0.45121586
2026-03-06 21:23:49.933926,125.25903
2026-03-06 21:23:49.934012,125.278725
2026-03-06 21:23:49.934047,124.95466
2026-03-06 21:23:49.934179,124.96056
2026-03-06 21:23:49.934292,124.94757
2026-03-06 21:23:49.934349,0.45125294
2026-03-06 21:23:50.043163,125.32204
2026-03-06 21:23:50.043251,125.26612
2026-03-06 21:23:50.043332,125.193665
2026-03-06 21:23:50.043455,125.38268
2026-03-06 21:23:50.043658,0.45136082
