time,ACT.GSE_High_Press_Vent.sample_ts_ms
2026-03-06 21:34:21.619026,12083054
2026-03-06 21:34:21.696225,12083174
2026-03-06 21:34:21.721166,12083156
2026-03-06 21:34:21.798632,12083276
2026-03-06 21:34:21.822888,12083258
2026-03-06 21:34:21.9003,12083378
2026-03-06 21:34:21.925095,12083360
2026-03-06 21:34:22.002813,12083480
2026-03-06 21:34:22.026981,12083462
2026-03-06 21:34:22.10449,12083582
2026-03-06 21:34:22.129211,12083564
2026-03-06 21:34:22.206396,12083684
2026-03-06 21:34:22.231118,12083666
2026-03-06 21:34:22.308494,12083786
2026-03-06 21:34:22.332913,12083768
2026-03-06 21:34:22.410596,12083888
2026-03-06 21:34:22.4351,12083870
2026-03-06 21:34:22.512489,12083990
2026-03-06 21:34:22.537273,12083972
2026-03-06 21:34:22.614654,12084092
2026-03-06 21:34:22.639025,12084074
2026-03-06 21:34:22.71669,12084194
2026-03-06 21:34:22.741537,12084176
2026-03-06 21:34:22.818911,12084296
2026-03-06 21:34:22.843109,12084278
2026-03-06 21:34:22.920777,12084398
2026-03-06 21:34:22.945293,12084380
2026-03-06 21:34:23.02244,12084500
2026-03-06 21:34:23.047301,12084482
2026-03-06 21:34:23.125348,12084602
2026-03-06 21:34:23.149199,12084584
2026-03-06 21:34:23.226818,12084704
2026-03-06 21:34:23.251547,12084686
2026-03-06 21:34:23.328889,12084806
2026-03-06 21:34:23.353625,12084788
2026-03-06 21:34:23.430741,12084908
2026-03-06 21:34:23.455678,12084890
2026-03-06 21:34:23.532663,12085010
2026-03-06 21:34:23.557143,12084992
2026-03-06 21:34:23.634819,12085112
2026-03-06 21:34:23.659248,12085094
2026-03-06 21:34:23.736862,12085214
2026-03-06 21:34:23.761034,12085196
2026-03-06 21:34:23.838523,12085316
2026-03-06 21:34:23.86335,12085298
2026-03-06 21:34:23.940773,12085418
2026-03-06 21:34:23.965239,12085400
2026-03-06 21:34:24.042439,12085520
2026-03-06 21:34:24.066942,12085502
2026-03-06 21:34:24.145129,12085622
2026-03-06 21:34:24.169328,12085604
2026-03-06 21:34:24.247069,12085724
2026-03-06 21:34:24.271069,12085706
2026-03-06 21:34:24.348608,12085826
2026-03-06 21:34:24.373112,12085808
2026-03-06 21:34:24.450844,12085928
2026-03-06 21:34:24.475037,12085910
2026-03-06 21:34:24.552306,12086030
2026-03-06 21:34:24.577424,12086012
2026-03-06 21:34:24.653625,12086131
2026-03-06 21:34:24.679104,12086114
2026-03-06 21:34:24.755739,12086233
2026-03-06 21:34:24.781289,12086216
2026-03-06 21:34:24.85759,12086335
2026-03-06 21:34:24.882798,12086318
2026-03-06 21:34:24.959348,12086437
2026-03-06 21:34:24.985038,12086420
2026-03-06 21:34:25.061818,12086539
2026-03-06 21:34:25.087455,12086522
2026-03-06 21:34:25.164853,12086641
2026-03-06 21:34:25.189127,12086624
2026-03-06 21:34:25.26567,12086743
2026-03-06 21:34:25.291113,12086726
2026-03-06 21:34:25.367429,12086845
2026-03-06 21:34:25.393122,12086828
2026-03-06 21:34:25.470053,12086947
2026-03-06 21:34:25.495221,12086930
2026-03-06 21:34:25.571751,12087049
2026-03-06 21:34:25.597128,12087032
2026-03-06 21:34:25.673623,12087151
2026-03-06 21:34:25.699134,12087134
2026-03-06 21:34:25.775644,12087253
2026-03-06 21:34:25.801141,12087236
2026-03-06 21:34:25.877537,12087355
2026-03-06 21:34:25.902967,12087338
2026-03-06 21:34:25.980011,12087457
2026-03-06 21:34:26.00529,12087440
2026-03-06 21:34:26.081921,12087559
2026-03-06 21:34:26.107419,12087542
2026-03-06 21:34:26.183776,12087661
2026-03-06 21:34:26.209189,12087644
2026-03-06 21:34:26.28602,12087763
2026-03-06 21:34:26.310968,12087746
2026-03-06 21:34:26.387822,12087865
2026-03-06 21:34:26.413302,12087848
2026-03-06 21:34:26.489291,12087967
2026-03-06 21:34:26.515412,12087950
2026-03-06 21:34:26.591879,12088069
2026-03-06 21:34:26.617296,12088052
2026-03-06 21:34:26.693395,12088171
2026-03-06 21:34:26.718802,12088154
2026-03-06 21:34:26.796075,12088273
2026-03-06 21:34:26.821117,12088256
2026-03-06 21:34:26.897528,12088375
2026-03-06 21:34:26.923336,12088358
2026-03-06 21:34:26.999958,12088477
2026-03-06 21:34:27.02542,12088460
2026-03-06 21:34:27.101678,12088579
2026-03-06 21:34:27.12722,12088562
2026-03-06 21:34:27.203692,12088681
2026-03-06 21:34:27.229264,12088664
2026-03-06 21:34:27.305973,12088783
2026-03-06 21:34:27.331563,12088766
2026-03-06 21:34:27.407407,12088885
2026-03-06 21:34:27.433261,12088868
2026-03-06 21:34:27.509779,12088987
2026-03-06 21:34:27.53565,12088970
2026-03-06 21:34:27.611926,12089089
2026-03-06 21:34:27.637274,12089072
2026-03-06 21:34:27.713819,12089191
2026-03-06 21:34:27.739008,12089174
2026-03-06 21:34:27.815923,12089293
2026-03-06 21:34:27.841154,12089276
2026-03-06 21:34:27.918834,12089395
2026-03-06 21:34:27.943306,12089378
2026-03-06 21:34:28.01948,12089497
2026-03-06 21:34:28.045362,12089480
2026-03-06 21:34:28.121597,12089599
2026-03-06 21:34:28.14703,12089582
2026-03-06 21:34:28.223506,12089701
2026-03-06 21:34:28.249393,12089684
2026-03-06 21:34:28.325783,12089803
2026-03-06 21:34:28.351482,12089786
2026-03-06 21:34:28.427678,12089905
2026-03-06 21:34:28.453617,12089888
2026-03-06 21:34:28.529687,12090007
2026-03-06 21:34:28.555242,12089990
2026-03-06 21:34:28.631714,12090109
2026-03-06 21:34:28.657192,12090092
2026-03-06 21:34:28.733447,12090211
2026-03-06 21:34:28.759018,12090194
2026-03-06 21:34:28.835862,12090313
2026-03-06 21:34:28.861053,12090296
2026-03-06 21:34:28.937529,12090415
2026-03-06 21:34:28.962927,12090398
2026-03-06 21:34:29.039755,12090517
2026-03-06 21:34:29.065162,12090500
2026-03-06 21:34:29.141654,12090619
2026-03-06 21:34:29.167284,12090602
2026-03-06 21:34:29.243537,12090721
2026-03-06 21:34:29.269689,12090704
2026-03-06 21:34:29.34568,12090823
2026-03-06 21:34:29.371407,12090806
2026-03-06 21:34:29.447807,12090925
2026-03-06 21:34:29.473282,12090908
2026-03-06 21:34:29.549891,12091027
2026-03-06 21:34:29.5755,12091010
2026-03-06 21:34:29.651773,12091129
2026-03-06 21:34:29.677854,12091112
2026-03-06 21:34:29.753883,12091231
2026-03-06 21:34:29.779392,12091214
2026-03-06 21:34:29.855851,12091333
2026-03-06 21:34:29.881495,12091316
2026-03-06 21:34:29.957776,12091435
2026-03-06 21:34:29.983267,12091418
2026-03-06 21:34:30.05976,12091537
2026-03-06 21:34:30.08546,12091520
2026-03-06 21:34:30.161784,12091639
2026-03-06 21:34:30.187195,12091622
2026-03-06 21:34:30.263912,12091741
2026-03-06 21:34:30.289434,12091724
2026-03-06 21:34:30.365943,12091843
2026-03-06 21:34:30.391189,12091826
2026-03-06 21:34:30.467848,12091945
2026-03-06 21:34:30.493113,12091928
2026-03-06 21:34:30.569535,12092047
2026-03-06 21:34:30.595375,12092030
2026-03-06 21:34:30.671497,12092149
2026-03-06 21:34:30.697505,12092132
2026-03-06 21:34:30.773908,12092251
2026-03-06 21:34:30.798851,12092234
2026-03-06 21:34:30.876305,12092353
2026-03-06 21:34:30.900899,12092336
2026-03-06 21:34:30.978037,12092455
2026-03-06 21:34:31.003076,12092438
2026-03-06 21:34:31.079788,12092557
2026-03-06 21:34:31.105393,12092540
2026-03-06 21:34:31.181768,12092659
2026-03-06 21:34:31.207131,12092642
2026-03-06 21:34:31.283833,12092761
2026-03-06 21:34:31.309475,12092744
2026-03-06 21:34:31.385956,12092863
2026-03-06 21:34:31.411518,12092846
2026-03-06 21:34:31.487837,12092965
2026-03-06 21:34:31.51328,12092948
2026-03-06 21:34:31.590063,12093067
2026-03-06 21:34:31.615152,12093050
2026-03-06 21:34:31.69168,12093169
2026-03-06 21:34:31.717589,12093152
2026-03-06 21:34:31.794143,12093271
2026-03-06 21:34:31.819266,12093254
2026-03-06 21:34:31.895511,12093373
2026-03-06 21:34:31.921326,12093356
2026-03-06 21:34:31.998029,12093475
2026-03-06 21:34:32.023193,12093458
2026-03-06 21:34:32.099691,12093577
2026-03-06 21:34:32.125453,12093560
2026-03-06 21:34:32.201587,12093679
2026-03-06 21:34:32.227026,12093662
2026-03-06 21:34:32.303877,12093781
2026-03-06 21:34:32.329248,12093764
2026-03-06 21:34:32.405558,12093883
2026-03-06 21:34:32.431568,12093866
2026-03-06 21:34:32.507853,12093985
2026-03-06 21:34:32.53363,12093968
2026-03-06 21:34:32.609941,12094087
2026-03-06 21:34:32.635461,12094070
2026-03-06 21:34:32.711941,12094189
2026-03-06 21:34:32.737513,12094172
2026-03-06 21:34:32.814004,12094291
2026-03-06 21:34:32.83936,12094274
2026-03-06 21:34:32.915886,12094393
2026-03-06 21:34:32.941332,12094376
2026-03-06 21:34:33.017931,12094495
2026-03-06 21:34:33.043507,12094478
2026-03-06 21:34:33.119695,12094597
2026-03-06 21:34:33.145294,12094580
2026-03-06 21:34:33.221912,12094699
2026-03-06 21:34:33.247236,12094682
2026-03-06 21:34:33.323429,12094801
2026-03-06 21:34:33.349401,12094784
2026-03-06 21:34:33.425324,12094903
2026-03-06 21:34:33.451374,12094886
2026-03-06 21:34:33.527851,12095005
2026-03-06 21:34:33.553558,12094988
2026-03-06 21:34:33.629644,12095107
2026-03-06 21:34:33.655015,12095090
2026-03-06 21:34:33.731613,12095209
2026-03-06 21:34:33.757073,12095192
2026-03-06 21:34:33.833706,12095311
2026-03-06 21:34:33.859444,12095294
2026-03-06 21:34:33.935545,12095413
2026-03-06 21:34:33.961509,12095396
2026-03-06 21:34:34.037977,12095515
2026-03-06 21:34:34.063424,12095498
2026-03-06 21:34:34.139388,12095617
2026-03-06 21:34:34.165188,12095600
2026-03-06 21:34:34.241849,12095719
2026-03-06 21:34:34.267069,12095702
2026-03-06 21:34:34.343683,12095821
2026-03-06 21:34:34.369439,12095804
2026-03-06 21:34:34.445849,12095923
2026-03-06 21:34:34.471386,12095906
2026-03-06 21:34:34.547763,12096025
2026-03-06 21:34:34.573254,12096008
2026-03-06 21:34:34.649246,12096127
2026-03-06 21:34:34.675326,12096110
2026-03-06 21:34:34.752028,12096229
2026-03-06 21:34:34.777005,12096212
2026-03-06 21:34:34.853389,12096331
2026-03-06 21:34:34.879308,12096314
2026-03-06 21:34:34.955672,12096433
2026-03-06 21:34:34.981019,12096416
2026-03-06 21:34:35.05759,12096535
2026-03-06 21:34:35.082814,12096518
2026-03-06 21:34:35.159399,12096637
