time,ACT.GSE_High_Press_Control.actuator_state
2026-03-06 21:29:16.53537,0
2026-03-06 21:29:16.55027,0
2026-03-06 21:29:16.637396,0
2026-03-06 21:29:16.652347,0
2026-03-06 21:29:16.739403,0
2026-03-06 21:29:16.754035,0
2026-03-06 21:29:16.841561,0
2026-03-06 21:29:16.856348,0
2026-03-06 21:29:16.943278,0
2026-03-06 21:29:16.958343,0
2026-03-06 21:29:17.045249,0
2026-03-06 21:29:17.060062,0
2026-03-06 21:29:17.147582,0
2026-03-06 21:29:17.161918,0
2026-03-06 21:29:17.249733,0
2026-03-06 21:29:17.2645,0
2026-03-06 21:29:17.351439,0
2026-03-06 21:29:17.365817,0
2026-03-06 21:29:17.453261,0
2026-03-06 21:29:17.468199,0
2026-03-06 21:29:17.555342,0
2026-03-06 21:29:17.570269,0
2026-03-06 21:29:17.657521,0
2026-03-06 21:29:17.672017,0
2026-03-06 21:29:17.759255,0
2026-03-06 21:29:17.774589,0
2026-03-06 21:29:17.861442,0
2026-03-06 21:29:17.876111,0
2026-03-06 21:29:17.963613,0
2026-03-06 21:29:17.978128,0
2026-03-06 21:29:18.065799,0
2026-03-06 21:29:18.080026,0
2026-03-06 21:29:18.167083,0
2026-03-06 21:29:18.182079,0
2026-03-06 21:29:18.269903,0
2026-03-06 21:29:18.283946,0
2026-03-06 21:29:18.371509,0
2026-03-06 21:29:18.386142,0
2026-03-06 21:29:18.473678,0
2026-03-06 21:29:18.488402,0
2026-03-06 21:29:18.575303,0
2026-03-06 21:29:18.590305,0
2026-03-06 21:29:18.677646,0
2026-03-06 21:29:18.692384,0
2026-03-06 21:29:18.779084,0
2026-03-06 21:29:18.794364,0
2026-03-06 21:29:18.881467,0
2026-03-06 21:29:18.896207,0
2026-03-06 21:29:18.983266,0
2026-03-06 21:29:18.997911,0
2026-03-06 21:29:19.085247,0
2026-03-06 21:29:19.100144,0
2026-03-06 21:29:19.187546,0
2026-03-06 21:29:19.202295,0
2026-03-06 21:29:19.289421,0
2026-03-06 21:29:19.304246,0
2026-03-06 21:29:19.391573,0
2026-03-06 21:29:19.406062,0
2026-03-06 21:29:19.493601,0
2026-03-06 21:29:19.508237,0
2026-03-06 21:29:19.595663,0
2026-03-06 21:29:19.610101,0
