time,PT_Cal.Fuel_Downstream.channel_id
2026-03-06 21:18:48.110473,3
2026-03-06 21:18:48.218623,3
2026-03-06 21:18:48.218757,3
2026-03-06 21:18:48.218843,3
2026-03-06 21:18:48.218908,3
2026-03-06 21:18:48.219108,3
2026-03-06 21:18:48.327904,3
2026-03-06 21:18:48.328055,3
2026-03-06 21:18:48.328109,3
2026-03-06 21:18:48.328294,3
2026-03-06 21:18:48.328545,3
2026-03-06 21:18:48.328874,3
2026-03-06 21:18:48.436981,3
2026-03-06 21:18:48.437177,3
2026-03-06 21:18:48.437364,3
2026-03-06 21:18:48.437427,3
2026-03-06 21:18:48.437611,3
2026-03-06 21:18:48.437847,3
2026-03-06 21:18:48.545943,3
2026-03-06 21:18:48.546076,3
2026-03-06 21:18:48.546132,3
2026-03-06 21:18:48.546308,3
2026-03-06 21:18:48.54638,3
2026-03-06 21:18:48.54664,3
2026-03-06 21:18:48.654991,3
2026-03-06 21:18:48.655197,3
2026-03-06 21:18:48.655248,3
2026-03-06 21:18:48.655384,3
2026-03-06 21:18:48.655494,3
2026-03-06 21:18:48.655575,3
2026-03-06 21:18:48.655775,3
2026-03-06 21:18:48.763913,3
2026-03-06 21:18:48.763985,3
2026-03-06 21:18:48.764142,3
2026-03-06 21:18:48.764176,3
2026-03-06 21:18:48.764326,3
2026-03-06 21:18:48.764453,3
2026-03-06 21:18:48.765063,3
2026-03-06 21:18:48.873129,3
2026-03-06 21:18:48.873341,3
2026-03-06 21:18:48.873483,3
2026-03-06 21:18:48.873609,3
2026-03-06 21:18:48.873911,3
2026-03-06 21:18:48.874002,3
2026-03-06 21:18:48.982089,3
2026-03-06 21:18:48.982335,3
2026-03-06 21:18:48.982521,3
2026-03-06 21:18:48.98271,3
2026-03-06 21:18:48.982725,3
2026-03-06 21:18:49.09074,3
2026-03-06 21:18:49.090855,3
2026-03-06 21:18:49.090909,3
2026-03-06 21:18:49.091018,3
2026-03-06 21:18:49.091094,3
2026-03-06 21:18:49.091123,3
2026-03-06 21:18:49.09138,3
2026-03-06 21:18:49.199984,3
2026-03-06 21:18:49.20025,3
2026-03-06 21:18:49.200399,3
2026-03-06 21:18:49.200576,3
2026-03-06 21:18:49.200647,3
2026-03-06 21:18:49.200969,3
2026-03-06 21:18:49.201182,3
2026-03-06 21:18:49.309046,3
2026-03-06 21:18:49.309165,3
2026-03-06 21:18:49.309307,3
2026-03-06 21:18:49.309445,3
2026-03-06 21:18:49.309532,3
2026-03-06 21:18:49.309585,3
2026-03-06 21:18:49.309736,3
2026-03-06 21:18:49.41752,3
2026-03-06 21:18:49.417674,3
2026-03-06 21:18:49.417743,3
2026-03-06 21:18:49.418,3
2026-03-06 21:18:49.418295,3
2026-03-06 21:18:49.526815,3
2026-03-06 21:18:49.526917,3
2026-03-06 21:18:49.527088,3
2026-03-06 21:18:49.527423,3
2026-03-06 21:18:49.527493,3
2026-03-06 21:18:49.52767,3
2026-03-06 21:18:49.527827,3
2026-03-06 21:18:49.635821,3
2026-03-06 21:18:49.636182,3
2026-03-06 21:18:49.636465,3
2026-03-06 21:18:49.636663,3
2026-03-06 21:18:49.636779,3
2026-03-06 21:18:49.744698,3
2026-03-06 21:18:49.744877,3
2026-03-06 21:18:49.745096,3
2026-03-06 21:18:49.745296,3
2026-03-06 21:18:49.745501,3
2026-03-06 21:18:49.745727,3
2026-03-06 21:18:49.85411,3
2026-03-06 21:18:49.854332,3
2026-03-06 21:18:49.85462,3
2026-03-06 21:18:49.854813,3
2026-03-06 21:18:49.854861,3
2026-03-06 21:18:49.85524,3
2026-03-06 21:18:49.855662,3
2026-03-06 21:18:49.856057,3
2026-03-06 21:18:49.96295,3
2026-03-06 21:18:49.963112,3
2026-03-06 21:18:49.963249,3
2026-03-06 21:18:49.963416,3
2026-03-06 21:18:49.963479,3
2026-03-06 21:18:49.963601,3
2026-03-06 21:18:49.963826,3
2026-03-06 21:18:50.071637,3
2026-03-06 21:18:50.071876,3
2026-03-06 21:18:50.072049,3
2026-03-06 21:18:50.072164,3
2026-03-06 21:18:50.072249,3
2026-03-06 21:18:50.072454,3
2026-03-06 21:18:50.180827,3
2026-03-06 21:18:50.180997,3
2026-03-06 21:18:50.181319,3
2026-03-06 21:18:50.181347,3
2026-03-06 21:18:50.181589,3
2026-03-06 21:18:50.289973,3
2026-03-06 21:18:50.290261,3
2026-03-06 21:18:50.290361,3
2026-03-06 21:18:50.29046,3
2026-03-06 21:18:50.290471,3
2026-03-06 21:18:50.290606,3
2026-03-06 21:18:50.398907,3
2026-03-06 21:18:50.399039,3
2026-03-06 21:18:50.399123,3
2026-03-06 21:18:50.399191,3
2026-03-06 21:18:50.399234,3
2026-03-06 21:18:50.399349,3
2026-03-06 21:18:50.508019,3
2026-03-06 21:18:50.508126,3
2026-03-06 21:18:50.508242,3
2026-03-06 21:18:50.508346,3
2026-03-06 21:18:50.508447,3
2026-03-06 21:18:50.508458,3
2026-03-06 21:18:50.509152,3
2026-03-06 21:18:50.617009,3
2026-03-06 21:18:50.617201,3
2026-03-06 21:18:50.617349,3
