time,PT_Cal.GSE_Low.cal_status
2026-03-06 21:37:18.517524,1
2026-03-06 21:37:18.517599,1
2026-03-06 21:37:18.517691,1
2026-03-06 21:37:18.620274,1
2026-03-06 21:37:18.620368,1
2026-03-06 21:37:18.621821,0
2026-03-06 21:37:18.624981,1
2026-03-06 21:37:18.625058,1
2026-03-06 21:37:18.625137,1
2026-03-06 21:37:18.730057,0
2026-03-06 21:37:18.731002,1
2026-03-06 21:37:18.731104,1
2026-03-06 21:37:18.734262,1
2026-03-06 21:37:18.734412,1
2026-03-06 21:37:18.73447,1
2026-03-06 21:37:18.8378,1
2026-03-06 21:37:18.838238,0
2026-03-06 21:37:18.948674,1
2026-03-06 21:37:18.949138,0
2026-03-06 21:37:18.953702,1
2026-03-06 21:37:18.953808,1
2026-03-06 21:37:18.953897,1
2026-03-06 21:37:18.953986,1
2026-03-06 21:37:19.055546,0
2026-03-06 21:37:19.057212,1
2026-03-06 21:37:19.057323,1
2026-03-06 21:37:19.057375,1
2026-03-06 21:37:19.057421,1
2026-03-06 21:37:19.060172,1
2026-03-06 21:37:19.166873,0
2026-03-06 21:37:19.167978,1
2026-03-06 21:37:19.168081,1
2026-03-06 21:37:19.169238,1
2026-03-06 21:37:19.169264,1
2026-03-06 21:37:19.169284,1
2026-03-06 21:37:19.273113,1
2026-03-06 21:37:19.273874,1
2026-03-06 21:37:19.274231,0
2026-03-06 21:37:19.275206,1
2026-03-06 21:37:19.27929,1
2026-03-06 21:37:19.279409,1
2026-03-06 21:37:19.382936,1
2026-03-06 21:37:19.383053,1
2026-03-06 21:37:19.384912,0
2026-03-06 21:37:19.496414,1
2026-03-06 21:37:19.496696,0
2026-03-06 21:37:19.499652,1
2026-03-06 21:37:19.599845,1
2026-03-06 21:37:19.60026,1
2026-03-06 21:37:19.600348,0
2026-03-06 21:37:19.603415,1
2026-03-06 21:37:19.603673,1
2026-03-06 21:37:19.712343,1
2026-03-06 21:37:19.712463,1
2026-03-06 21:37:19.712537,1
2026-03-06 21:37:19.712615,1
2026-03-06 21:37:19.712727,1
2026-03-06 21:37:19.713196,0
2026-03-06 21:37:19.818539,1
2026-03-06 21:37:19.818867,1
2026-03-06 21:37:19.818957,0
2026-03-06 21:37:19.819249,1
2026-03-06 21:37:19.819628,1
2026-03-06 21:37:19.821538,1
2026-03-06 21:37:19.927552,1
2026-03-06 21:37:19.92809,1
2026-03-06 21:37:19.928622,1
2026-03-06 21:37:19.928989,0
2026-03-06 21:37:19.93274,1
2026-03-06 21:37:20.037983,1
2026-03-06 21:37:20.0381,1
2026-03-06 21:37:20.038199,1
2026-03-06 21:37:20.038305,1
2026-03-06 21:37:20.03841,1
2026-03-06 21:37:20.038563,0
2026-03-06 21:37:20.14481,1
2026-03-06 21:37:20.144941,1
2026-03-06 21:37:20.145387,0
2026-03-06 21:37:20.146237,1
2026-03-06 21:37:20.14626,1
2026-03-06 21:37:20.146278,1
2026-03-06 21:37:20.255446,1
2026-03-06 21:37:20.255686,1
2026-03-06 21:37:20.255929,0
2026-03-06 21:37:20.255947,1
2026-03-06 21:37:20.256251,1
2026-03-06 21:37:20.363303,0
2026-03-06 21:37:20.363661,1
2026-03-06 21:37:20.363761,1
2026-03-06 21:37:20.363824,1
2026-03-06 21:37:20.363895,1
2026-03-06 21:37:20.363942,1
2026-03-06 21:37:20.473723,1
2026-03-06 21:37:20.476204,0
2026-03-06 21:37:20.581794,1
2026-03-06 21:37:20.581898,1
2026-03-06 21:37:20.582035,1
2026-03-06 21:37:20.582186,1
2026-03-06 21:37:20.584377,0
2026-03-06 21:37:20.586681,1
2026-03-06 21:37:20.689976,1
2026-03-06 21:37:20.690469,0
2026-03-06 21:37:20.694647,1
2026-03-06 21:37:20.694735,1
2026-03-06 21:37:20.69482,1
2026-03-06 21:37:20.799052,0
2026-03-06 21:37:20.799237,1
2026-03-06 21:37:20.799323,1
2026-03-06 21:37:20.799368,1
2026-03-06 21:37:20.799426,1
2026-03-06 21:37:20.799653,1
2026-03-06 21:37:20.908565,1
2026-03-06 21:37:20.909022,0
2026-03-06 21:37:20.910235,1
2026-03-06 21:37:20.910256,1
2026-03-06 21:37:20.910271,1
2026-03-06 21:37:20.910286,1
2026-03-06 21:37:21.020651,1
2026-03-06 21:37:21.020777,1
2026-03-06 21:37:21.020989,0
2026-03-06 21:37:21.022377,1
2026-03-06 21:37:21.022466,1
2026-03-06 21:37:21.022561,1
2026-03-06 21:37:21.128605,1
2026-03-06 21:37:21.128727,1
2026-03-06 21:37:21.128865,1
2026-03-06 21:37:21.129009,1
2026-03-06 21:37:21.129163,1
2026-03-06 21:37:21.1302,0
2026-03-06 21:37:21.237891,0
2026-03-06 21:37:21.238643,1
2026-03-06 21:37:21.238777,1
2026-03-06 21:37:21.238858,1
2026-03-06 21:37:21.238947,1
2026-03-06 21:37:21.239048,1
2026-03-06 21:37:21.344582,1
2026-03-06 21:37:21.345082,0
2026-03-06 21:37:21.345127,1
2026-03-06 21:37:21.34585,1
2026-03-06 21:37:21.350444,1
2026-03-06 21:37:21.350531,1
2026-03-06 21:37:21.45406,0
2026-03-06 21:37:21.454472,1
2026-03-06 21:37:21.454561,1
2026-03-06 21:37:21.454693,1
2026-03-06 21:37:21.456267,1
2026-03-06 21:37:21.562066,1
2026-03-06 21:37:21.563847,0
2026-03-06 21:37:21.56471,1
2026-03-06 21:37:21.565394,1
2026-03-06 21:37:21.566268,1
2026-03-06 21:37:21.566822,1
2026-03-06 21:37:21.672987,0
2026-03-06 21:37:21.673321,1
2026-03-06 21:37:21.673423,1
2026-03-06 21:37:21.673582,1
2026-03-06 21:37:21.673724,1
2026-03-06 21:37:21.67377,1
2026-03-06 21:37:21.780552,1
2026-03-06 21:37:21.781013,0
2026-03-06 21:37:21.782282,1
2026-03-06 21:37:21.782383,1
2026-03-06 21:37:21.782523,1
2026-03-06 21:37:21.889507,1
2026-03-06 21:37:21.890333,0
2026-03-06 21:37:21.891147,1
2026-03-06 21:37:21.891703,1
2026-03-06 21:37:21.898494,1
