time,PT_Cal.GSE_High.raw_adc
2026-03-06 21:18:04.097209,570807365
2026-03-06 21:18:04.097233,570912533
2026-03-06 21:18:04.097255,570724443
2026-03-06 21:18:04.097288,570821522
2026-03-06 21:18:04.097311,570921297
2026-03-06 21:18:04.097549,570615904
2026-03-06 21:18:04.097588,570842421
2026-03-06 21:18:04.097885,570821522
2026-03-06 21:18:04.197376,570861970
2026-03-06 21:18:04.197474,570697477
2026-03-06 21:18:04.197521,570895679
2026-03-06 21:18:04.197569,570733207
2026-03-06 21:18:04.19761,570750735
2026-03-06 21:18:04.197802,570806017
2026-03-06 21:18:04.19793,570886914
2026-03-06 21:18:04.197931,570895679
2026-03-06 21:18:04.298016,570679274
2026-03-06 21:18:04.298105,570679274
2026-03-06 21:18:04.298138,570736578
2026-03-06 21:18:04.298257,570887589
2026-03-06 21:18:04.298354,570770960
2026-03-06 21:18:04.298557,570696128
2026-03-06 21:18:04.298613,570852533
2026-03-06 21:18:04.298696,570816129
2026-03-06 21:18:04.298756,570641522
2026-03-06 21:18:04.298822,570789162
2026-03-06 21:18:04.397441,570615229
2026-03-06 21:18:04.397591,570662421
2026-03-06 21:18:04.397658,570760174
2026-03-06 21:18:04.397725,570677926
2026-03-06 21:18:04.397814,570785790
2026-03-06 21:18:04.397925,570929387
2026-03-06 21:18:04.398051,570795229
2026-03-06 21:18:04.398248,570803993
2026-03-06 21:18:04.398609,570760174
2026-03-06 21:18:04.497647,570813431
2026-03-06 21:18:04.497758,570859275
2026-03-06 21:18:04.497782,570751410
2026-03-06 21:18:04.497866,570688713
2026-03-06 21:18:04.49829,570657028
2026-03-06 21:18:04.498771,570571410
2026-03-06 21:18:04.498965,570571410
2026-03-06 21:18:04.499093,570652982
2026-03-06 21:18:04.499313,570677926
2026-03-06 21:18:04.597553,570599724
2026-03-06 21:18:04.597655,570494556
2026-03-06 21:18:04.597722,570916578
2026-03-06 21:18:04.597802,570786465
2026-03-06 21:18:04.59791,570730510
2026-03-06 21:18:04.598043,570713657
2026-03-06 21:18:04.598409,570876128
2026-03-06 21:18:04.698249,570856578
2026-03-06 21:18:04.698342,570617926
2026-03-06 21:18:04.6984,570525567
2026-03-06 21:18:04.698519,570681297
2026-03-06 21:18:04.698622,570688713
2026-03-06 21:18:04.698742,570755454
