time,PT_Cal.Ox_Downstream.pressure_psi
2026-03-06 21:17:10.663768,0.0
2026-03-06 21:17:10.664063,0.19807835
2026-03-06 21:17:10.664352,0.0
2026-03-06 21:17:10.77247,0.0
2026-03-06 21:17:10.772912,0.0
2026-03-06 21:17:10.77319,0.0
2026-03-06 21:17:10.775375,0.19827792
2026-03-06 21:17:10.881451,0.0
2026-03-06 21:17:10.881896,0.19822466
2026-03-06 21:17:10.881901,0.0
2026-03-06 21:17:10.882704,0.0
2026-03-06 21:17:10.882844,0.0
2026-03-06 21:17:10.990722,0.0
2026-03-06 21:17:10.991507,0.0
2026-03-06 21:17:10.991845,0.1982577
2026-03-06 21:17:10.992385,0.0
2026-03-06 21:17:10.993252,0.0
2026-03-06 21:17:11.099677,0.0
2026-03-06 21:17:11.100381,0.0
2026-03-06 21:17:11.100772,0.19881865
2026-03-06 21:17:11.100993,0.0
2026-03-06 21:17:11.101734,0.0
2026-03-06 21:17:11.102604,0.0
2026-03-06 21:17:11.103479,0.0
2026-03-06 21:17:11.2091,0.0
2026-03-06 21:17:11.209653,0.0
2026-03-06 21:17:11.21036,0.19179983
2026-03-06 21:17:11.210459,0.0
2026-03-06 21:17:11.211351,0.0
2026-03-06 21:17:11.212061,0.0
2026-03-06 21:17:11.213055,0.0
2026-03-06 21:17:11.317417,0.0
2026-03-06 21:17:11.318062,0.0
2026-03-06 21:17:11.318263,0.19745468
2026-03-06 21:17:11.318955,0.0
2026-03-06 21:17:11.320013,0.0
2026-03-06 21:17:11.320644,0.0
2026-03-06 21:17:11.322506,0.0
2026-03-06 21:17:11.323397,0.0
2026-03-06 21:17:11.324219,0.0
2026-03-06 21:17:11.425555,0.0
2026-03-06 21:17:11.425734,0.0
2026-03-06 21:17:11.425875,0.0
2026-03-06 21:17:11.426035,0.0
2026-03-06 21:17:11.426382,0.0
2026-03-06 21:17:11.426823,0.19798867
2026-03-06 21:17:11.537385,0.0
2026-03-06 21:17:11.537777,0.0
2026-03-06 21:17:11.538106,0.0
2026-03-06 21:17:11.538489,0.0
2026-03-06 21:17:11.538616,0.19860089
2026-03-06 21:17:11.5388,0.0
2026-03-06 21:17:11.643909,0.0
2026-03-06 21:17:11.644109,0.0
2026-03-06 21:17:11.644537,0.0
2026-03-06 21:17:11.644814,0.0
2026-03-06 21:17:11.644824,0.19804868
2026-03-06 21:17:11.752829,0.0
2026-03-06 21:17:11.753093,0.0
2026-03-06 21:17:11.75327,0.0
2026-03-06 21:17:11.753356,0.0
2026-03-06 21:17:11.753472,0.0
2026-03-06 21:17:11.753803,0.19862786
2026-03-06 21:17:11.861373,0.0
2026-03-06 21:17:11.861498,0.0
2026-03-06 21:17:11.861781,0.0
2026-03-06 21:17:11.861913,0.0
2026-03-06 21:17:11.862039,0.0
2026-03-06 21:17:11.862043,0.1975666
2026-03-06 21:17:11.862183,0.0
2026-03-06 21:17:11.971094,0.0
2026-03-06 21:17:11.971283,0.0
2026-03-06 21:17:11.971648,0.0
2026-03-06 21:17:11.971793,0.19814105
2026-03-06 21:17:11.971843,0.0
2026-03-06 21:17:12.080692,0.0
